employee_id,effective_date,base_salary,bonus_target_pct,equity_value
emp_000000,2026-07-01,250047.06,0.15,87498.95
emp_000000,2025-07-01,235893.45,0.15,82546.18
emp_000000,2024-07-01,222540.99,0.15,77873.75
emp_000001,2026-07-01,118230.28,0.1,21281.66
emp_000002,2026-07-01,286217.08,0.25,98484.82
emp_000002,2025-07-01,270016.11,0.25,92910.21
emp_000002,2024-07-01,254732.18,0.25,87651.14
emp_000003,2026-07-01,118331.42,0.07,10946.77
emp_000003,2025-07-01,111633.42,0.07,10327.14
emp_000004,2026-07-01,221042.84,0.12,53068.75
emp_000005,2026-07-01,73206.44,0.05,4379.89
emp_000006,2026-07-01,87128.01,0.07,13034.54
emp_000006,2025-07-01,82196.24,0.07,12296.74
emp_000006,2024-07-01,77543.62,0.07,11600.69
emp_000007,2026-07-01,34647.64,0.07,11497.1
emp_000008,2026-07-01,403263.41,0.35,351672.98
emp_000008,2025-07-01,380437.18,0.35,331766.96
emp_000008,2024-07-01,358903.0,0.35,312987.7
emp_000009,2026-07-01,106038.47,0.07,15467.41
emp_000009,2025-07-01,100036.29,0.07,14591.9
emp_000010,2026-07-01,248049.47,0.15,109534.85
emp_000010,2025-07-01,234008.93,0.15,103334.76
emp_000010,2024-07-01,220763.15,0.15,97485.63
emp_000011,2026-07-01,131419.0,0.07,10185.69
emp_000011,2025-07-01,123980.19,0.07,9609.14
emp_000012,2026-07-01,68408.16,0.05,5814.62
emp_000012,2025-07-01,64536.0,0.05,5485.49
emp_000012,2024-07-01,60883.02,0.05,5174.99
emp_000013,2026-07-01,78213.33,0.07,13520.81
emp_000013,2025-07-01,73786.16,0.07,12755.48
emp_000014,2026-07-01,235999.04,0.15,106381.45
emp_000014,2025-07-01,222640.6,0.15,100359.86
emp_000014,2024-07-01,210038.31,0.15,94679.11
emp_000015,2026-07-01,89922.41,0.07,14455.07
emp_000016,2026-07-01,111758.31,0.07,9596.79
emp_000017,2026-07-01,32635.29,0.07,10039.12
emp_000018,2026-07-01,142135.5,0.15,44704.77
emp_000018,2025-07-01,134090.09,0.15,42174.31
emp_000018,2024-07-01,126500.09,0.15,39787.09
emp_000019,2026-07-01,67088.84,0.05,5767.51
emp_000020,2026-07-01,732609.98,0.55,1078677.59
emp_000020,2025-07-01,691141.49,0.55,1017620.37
emp_000020,2024-07-01,652020.27,0.55,960019.22
emp_000021,2026-07-01,176982.54,0.15,54578.1
emp_000021,2025-07-01,166964.66,0.15,51488.77
emp_000022,2026-07-01,59167.11,0.12,48751.15
emp_000022,2025-07-01,55818.03,0.12,45991.65
emp_000022,2024-07-01,52658.52,0.12,43388.35
emp_000023,2026-07-01,167557.73,0.1,20445.1
emp_000024,2026-07-01,175396.05,0.1,28541.0
emp_000025,2026-07-01,92823.62,0.05,5970.17
emp_000026,2026-07-01,74866.39,0.05,5170.73
emp_000027,2026-07-01,148821.62,0.15,55988.12
emp_000027,2025-07-01,140397.75,0.15,52818.98
emp_000027,2024-07-01,132450.71,0.15,49829.23
emp_000028,2026-07-01,64372.93,0.05,5343.03
emp_000029,2026-07-01,116955.81,0.07,14414.74
emp_000030,2026-07-01,30000.0,0.05,4122.97
emp_000030,2025-07-01,28301.89,0.05,3889.59
emp_000031,2026-07-01,195820.04,0.12,51301.72
emp_000032,2026-07-01,109252.52,0.07,9940.22
emp_000032,2025-07-01,103068.42,0.07,9377.57
emp_000032,2024-07-01,97234.35,0.07,8846.76
emp_000033,2026-07-01,209022.72,0.15,95843.19
emp_000034,2026-07-01,95737.0,0.07,10071.35
emp_000034,2025-07-01,90317.92,0.07,9501.27
emp_000035,2026-07-01,181246.08,0.12,59179.0
emp_000035,2025-07-01,170986.87,0.12,55829.25
emp_000035,2024-07-01,161308.37,0.12,52669.1
emp_000036,2026-07-01,89268.5,0.07,12457.81
emp_000037,2026-07-01,225882.56,0.15,80033.08
emp_000038,2026-07-01,129529.07,0.1,22733.79
emp_000039,2026-07-01,158649.31,0.1,33906.29
emp_000040,2026-07-01,132309.5,0.1,25491.97
emp_000041,2026-07-01,82376.14,0.07,9246.5
emp_000041,2025-07-01,77713.34,0.07,8723.11
emp_000041,2024-07-01,73314.47,0.07,8229.35
emp_000042,2026-07-01,205591.08,0.12,68007.46
emp_000043,2026-07-01,460840.57,0.55,1591938.69
emp_000043,2025-07-01,434755.25,0.55,1501828.95
emp_000043,2024-07-01,410146.47,0.55,1416819.77
emp_000044,2026-07-01,129948.05,0.07,11606.06
emp_000044,2025-07-01,122592.5,0.07,10949.11
emp_000044,2024-07-01,115653.3,0.07,10329.35
emp_000045,2026-07-01,171956.86,0.15,32731.29
emp_000045,2025-07-01,162223.45,0.15,30878.58
emp_000046,2026-07-01,100293.74,0.07,11868.65
emp_000047,2026-07-01,106365.6,0.07,7694.04
emp_000047,2025-07-01,100344.91,0.07,7258.53
emp_000048,2026-07-01,353039.98,0.35,456539.22
emp_000048,2025-07-01,333056.58,0.35,430697.38
emp_000048,2024-07-01,314204.33,0.35,406318.28
emp_000049,2026-07-01,85040.43,0.07,10268.5
emp_000049,2025-07-01,80226.82,0.07,9687.26
emp_000050,2026-07-01,78047.92,0.05,4659.52
emp_000050,2025-07-01,73630.11,0.05,4395.77
emp_000051,2026-07-01,154736.06,0.15,52169.96
emp_000052,2026-07-01,157247.3,0.1,32726.13
emp_000052,2025-07-01,148346.51,0.1,30873.71
emp_000052,2024-07-01,139949.54,0.1,29126.14
emp_000053,2026-07-01,110924.99,0.07,8357.35
emp_000054,2026-07-01,74847.08,0.05,5970.03
emp_000055,2026-07-01,145024.79,0.1,21722.28
emp_000055,2025-07-01,136815.84,0.1,20492.72
emp_000056,2026-07-01,184265.76,0.1,22739.47
emp_000056,2025-07-01,173835.62,0.1,21452.33
emp_000056,2024-07-01,163995.87,0.1,20238.05
emp_000057,2026-07-01,166776.27,0.1,24433.58
emp_000058,2026-07-01,81081.39,0.05,6432.84
emp_000059,2026-07-01,205419.45,0.12,58066.19
emp_000059,2025-07-01,193791.93,0.12,54779.42
emp_000059,2024-07-01,182822.58,0.12,51678.7
emp_000060,2026-07-01,161192.28,0.12,54016.11
emp_000061,2026-07-01,99725.3,0.07,11171.28
emp_000061,2025-07-01,94080.47,0.07,10538.94
emp_000061,2024-07-01,88755.16,0.07,9942.4
emp_000062,2026-07-01,231721.03,0.15,61356.03
emp_000062,2025-07-01,218604.75,0.15,57883.05
emp_000062,2024-07-01,206230.89,0.15,54606.65
emp_000063,2026-07-01,91279.19,0.07,13503.74
emp_000063,2025-07-01,86112.44,0.07,12739.38
emp_000063,2024-07-01,81238.15,0.07,12018.28
emp_000064,2026-07-01,242348.34,0.15,136184.29
emp_000064,2025-07-01,228630.51,0.15,128475.75
emp_000065,2026-07-01,147485.18,0.07,13143.41
emp_000066,2026-07-01,174303.36,0.12,42428.21
emp_000066,2025-07-01,164437.13,0.12,40026.61
emp_000067,2026-07-01,332738.68,0.25,113450.32
emp_000067,2025-07-01,313904.42,0.25,107028.6
emp_000067,2024-07-01,296136.24,0.25,100970.38
emp_000068,2026-07-01,173911.8,0.1,31076.85
emp_000069,2026-07-01,89614.07,0.07,8610.89
emp_000070,2026-07-01,84180.31,0.07,13243.9
emp_000071,2026-07-01,133786.43,0.1,22624.27
emp_000072,2026-07-01,152383.95,0.15,30690.96
emp_000072,2025-07-01,143758.44,0.15,28953.74
emp_000073,2026-07-01,142147.57,0.1,27366.6
emp_000073,2025-07-01,134101.48,0.1,25817.55
emp_000073,2024-07-01,126510.83,0.1,24356.18
emp_000074,2026-07-01,130181.89,0.07,14548.25
emp_000075,2026-07-01,221851.35,0.12,62379.71
emp_000075,2025-07-01,209293.73,0.12,58848.78
emp_000076,2026-07-01,125174.99,0.07,13470.74
emp_000076,2025-07-01,118089.61,0.07,12708.25
emp_000076,2024-07-01,111405.3,0.07,11988.91
emp_000077,2026-07-01,90175.01,0.05,5700.83
emp_000078,2026-07-01,108491.93,0.07,7711.74
emp_000079,2026-07-01,61974.62,0.05,2866.53
emp_000080,2026-07-01,191688.44,0.15,138329.25
emp_000080,2025-07-01,180838.15,0.15,130499.29
emp_000080,2024-07-01,170602.03,0.15,123112.54
emp_000081,2026-07-01,247459.11,0.15,118411.12
emp_000081,2025-07-01,233451.99,0.15,111708.6
emp_000081,2024-07-01,220237.73,0.15,105385.48
emp_000082,2026-07-01,167665.47,0.1,30435.58
emp_000082,2025-07-01,158174.97,0.1,28712.81
emp_000083,2026-07-01,61575.32,0.05,2940.68
emp_000084,2026-07-01,79546.65,0.05,3871.51
emp_000084,2025-07-01,75044.01,0.05,3652.37
emp_000084,2024-07-01,70796.24,0.05,3445.63
emp_000085,2026-07-01,230575.49,0.15,95961.76
emp_000085,2025-07-01,217524.05,0.15,90529.96
emp_000086,2026-07-01,91783.08,0.07,9569.64
emp_000087,2026-07-01,112680.36,0.07,13298.12
emp_000088,2026-07-01,211870.36,0.15,151523.65
emp_000088,2025-07-01,199877.7,0.15,142946.84
emp_000088,2024-07-01,188563.87,0.15,134855.51
emp_000089,2026-07-01,65983.83,0.05,2495.15
emp_000089,2025-07-01,62248.9,0.05,2353.92
emp_000090,2026-07-01,139784.97,0.1,18116.96
emp_000091,2026-07-01,157602.03,0.12,60165.37
emp_000091,2025-07-01,148681.16,0.12,56759.78
emp_000091,2024-07-01,140265.25,0.12,53546.97
emp_000092,2026-07-01,40264.11,0.1,20639.33
emp_000093,2026-07-01,383642.69,0.35,370466.19
emp_000093,2025-07-01,361927.07,0.35,349496.41
emp_000094,2026-07-01,261158.66,0.25,98108.15
emp_000094,2025-07-01,246376.09,0.25,92554.86
emp_000094,2024-07-01,232430.28,0.25,87315.9
emp_000095,2026-07-01,199546.65,0.15,110620.59
emp_000095,2025-07-01,188251.56,0.15,104359.05
emp_000096,2026-07-01,101565.46,0.07,14752.31
emp_000096,2025-07-01,95816.47,0.07,13917.27
emp_000097,2026-07-01,233607.55,0.25,229565.22
emp_000097,2025-07-01,220384.48,0.25,216570.96
emp_000097,2024-07-01,207909.89,0.25,204312.23
emp_000098,2026-07-01,203439.83,0.12,61880.1
emp_000099,2026-07-01,142646.86,0.12,63599.97
emp_000100,2026-07-01,81555.54,0.07,12321.48
emp_000101,2026-07-01,421036.54,0.35,332361.35
emp_000101,2025-07-01,397204.28,0.35,313548.44
emp_000101,2024-07-01,374721.02,0.35,295800.42
emp_000102,2026-07-01,207182.0,0.12,71195.31
emp_000103,2026-07-01,197950.11,0.15,111937.26
emp_000103,2025-07-01,186745.39,0.15,105601.19
emp_000103,2024-07-01,176174.89,0.15,99623.76
emp_000104,2026-07-01,169248.52,0.15,28392.24
emp_000104,2025-07-01,159668.42,0.15,26785.13
emp_000104,2024-07-01,150630.58,0.15,25268.99
emp_000105,2026-07-01,285257.45,0.25,201226.77
emp_000106,2026-07-01,167869.86,0.1,24052.58
emp_000107,2026-07-01,111170.54,0.07,11391.45
emp_000108,2026-07-01,138786.81,0.1,32797.56
emp_000108,2025-07-01,130930.95,0.1,30941.09
emp_000109,2026-07-01,141658.26,0.1,29000.75
emp_000110,2026-07-01,95926.46,0.07,12829.78
emp_000111,2026-07-01,71206.59,0.05,4476.54
emp_000112,2026-07-01,159972.73,0.12,72432.79
emp_000112,2025-07-01,150917.67,0.12,68332.82
emp_000113,2026-07-01,109342.38,0.07,8332.8
emp_000113,2025-07-01,103153.19,0.07,7861.13
emp_000114,2026-07-01,194477.17,0.2,54588.38
emp_000114,2025-07-01,183469.03,0.2,51498.47
emp_000115,2026-07-01,141043.31,0.1,24103.27
emp_000115,2025-07-01,133059.73,0.1,22738.93
emp_000115,2024-07-01,125528.04,0.1,21451.82
emp_000116,2026-07-01,178991.19,0.15,55561.89
emp_000117,2026-07-01,142806.26,0.1,21829.53
emp_000118,2026-07-01,178282.88,0.15,48806.81
emp_000119,2026-07-01,267474.47,0.25,143312.26
emp_000119,2025-07-01,252334.41,0.25,135200.25
emp_000119,2024-07-01,238051.33,0.25,127547.4
emp_000120,2026-07-01,97942.89,0.07,12301.21
emp_000120,2025-07-01,92398.95,0.07,11604.92
emp_000120,2024-07-01,87168.82,0.07,10948.03
emp_000121,2026-07-01,113312.71,0.07,15963.43
emp_000121,2025-07-01,106898.78,0.07,15059.84
emp_000121,2024-07-01,100847.91,0.07,14207.4
emp_000122,2026-07-01,99778.55,0.07,11622.05
emp_000122,2025-07-01,94130.71,0.07,10964.2
emp_000123,2026-07-01,91521.31,0.07,7724.69
emp_000123,2025-07-01,86340.86,0.07,7287.44
emp_000123,2024-07-01,81453.64,0.07,6874.95
emp_000124,2026-07-01,109562.33,0.07,13471.41
emp_000124,2025-07-01,103360.69,0.07,12708.88
emp_000124,2024-07-01,97510.08,0.07,11989.51
emp_000125,2026-07-01,163253.13,0.15,26980.35
emp_000125,2025-07-01,154012.39,0.15,25453.16
emp_000125,2024-07-01,145294.7,0.15,24012.42
emp_000126,2026-07-01,67239.2,0.05,3541.86
emp_000126,2025-07-01,63433.21,0.05,3341.38
emp_000126,2024-07-01,59842.65,0.05,3152.24
emp_000127,2026-07-01,125146.96,0.1,24797.67
emp_000127,2025-07-01,118063.17,0.1,23394.03
emp_000127,2024-07-01,111380.35,0.1,22069.84
emp_000128,2026-07-01,52146.66,0.1,20210.55
emp_000128,2025-07-01,49194.96,0.1,19066.56
emp_000128,2024-07-01,46410.34,0.1,17987.32
emp_000129,2026-07-01,121385.01,0.1,20794.78
emp_000129,2025-07-01,114514.16,0.1,19617.72
emp_000130,2026-07-01,115476.15,0.07,7573.95
emp_000131,2026-07-01,270180.62,0.15,106283.8
emp_000131,2025-07-01,254887.38,0.15,100267.74
emp_000132,2026-07-01,73174.93,0.07,10870.89
emp_000133,2026-07-01,208989.64,0.15,40285.53
emp_000133,2025-07-01,197160.04,0.15,38005.22
emp_000134,2026-07-01,227888.1,0.2,73182.71
emp_000134,2025-07-01,214988.77,0.2,69040.29
emp_000135,2026-07-01,99159.94,0.07,13195.46
