employee_id,hire_date,hire_source
emp_000000,2021-03-01,linkedin
emp_000001,2024-10-31,recruiter
emp_000002,2022-10-01,recruiter
emp_000003,2024-07-01,referral
emp_000004,2025-07-01,company_site
emp_000005,2026-07-01,recruiter
emp_000006,2019-10-01,referral
emp_000007,2026-03-02,linkedin
emp_000008,2020-09-30,company_site
emp_000009,2024-04-01,referral
emp_000010,2022-12-31,linkedin
emp_000011,2024-04-01,referral
emp_000012,2021-10-31,referral
emp_000013,2023-12-01,recruiter
emp_000014,2021-08-31,company_site
emp_000015,2025-08-31,linkedin
emp_000016,2024-08-31,referral
emp_000017,2025-07-01,linkedin
emp_000018,2018-03-01,referral
emp_000019,2025-05-01,linkedin
emp_000020,2021-03-01,conference
emp_000021,2024-05-31,linkedin
emp_000022,2022-12-01,linkedin
emp_000023,2025-04-01,recruiter
emp_000024,2025-10-01,university
emp_000025,2025-10-01,company_site
emp_000026,2024-12-31,university
emp_000027,2020-03-01,recruiter
emp_000028,2025-08-01,university
emp_000029,2024-12-31,referral
emp_000030,2024-05-01,referral
emp_000031,2025-08-31,recruiter
emp_000032,2022-10-31,company_site
emp_000033,2024-08-31,boomerang
emp_000034,2024-07-01,referral
emp_000035,2019-10-01,recruiter
emp_000036,2025-06-01,referral
emp_000037,2024-12-31,recruiter
emp_000038,2024-08-31,linkedin
emp_000039,2025-12-31,linkedin
emp_000040,2024-09-30,referral
emp_000041,2022-05-01,recruiter
emp_000042,2025-06-01,referral
emp_000043,2021-08-01,referral
emp_000044,2016-05-01,company_site
emp_000045,2023-09-01,conference
emp_000046,2025-10-31,linkedin
emp_000047,2024-05-31,linkedin
emp_000048,2022-12-31,linkedin
emp_000049,2024-03-01,recruiter
emp_000050,2024-03-01,linkedin
emp_000051,2024-11-30,referral
emp_000052,2021-01-30,referral
emp_000053,2025-04-01,referral
emp_000054,2025-03-01,referral
emp_000055,2023-10-31,linkedin
emp_000056,2021-08-01,recruiter
emp_000057,2025-01-30,linkedin
emp_000058,2025-06-01,linkedin
emp_000059,2023-03-02,referral
emp_000060,2024-11-30,linkedin
emp_000061,2022-12-31,referral
emp_000062,2023-04-01,recruiter
emp_000063,2023-07-02,recruiter
emp_000064,2024-01-31,boomerang
emp_000065,2024-07-31,company_site
emp_000066,2024-05-01,company_site
emp_000067,2020-01-31,linkedin
emp_000068,2025-08-31,university
emp_000069,2025-03-01,recruiter
emp_000070,2025-03-01,referral
emp_000071,2025-10-01,linkedin
emp_000072,2023-10-31,referral
emp_000073,2020-07-01,linkedin
emp_000074,2025-04-01,company_site
emp_000075,2024-01-31,referral
emp_000076,2021-03-01,referral
emp_000077,2025-08-31,company_site
emp_000078,2025-01-30,linkedin
emp_000079,2026-03-02,linkedin
emp_000080,2023-01-30,conference
emp_000081,2023-04-01,linkedin
emp_000082,2023-10-31,university
emp_000083,2025-10-31,linkedin
emp_000084,2023-03-02,linkedin
emp_000085,2024-07-01,linkedin
emp_000086,2025-01-30,company_site
emp_000087,2025-12-31,boomerang
emp_000088,2021-12-31,referral
emp_000089,2023-12-01,conference
emp_000090,2025-05-01,referral
emp_000091,2022-06-01,referral
emp_000092,2025-04-01,recruiter
emp_000093,2024-07-01,boomerang
emp_000094,2017-05-01,company_site
emp_000095,2023-10-01,recruiter
emp_000096,2023-10-31,recruiter
emp_000097,2021-12-31,recruiter
emp_000098,2024-07-31,recruiter
emp_000099,2025-06-01,linkedin
emp_000100,2025-12-31,linkedin
emp_000101,2021-07-01,conference
emp_000102,2026-03-02,university
emp_000103,2023-01-30,referral
emp_000104,2023-07-02,referral
emp_000105,2024-09-30,linkedin
emp_000106,2025-06-01,company_site
emp_000107,2025-08-01,company_site
emp_000108,2024-05-01,referral
emp_000109,2025-10-01,referral
emp_000110,2025-07-01,linkedin
emp_000111,2025-08-01,university
emp_000112,2023-10-01,university
emp_000113,2024-05-01,recruiter
emp_000114,2023-12-31,linkedin
emp_000115,2023-04-01,referral
emp_000116,2024-07-31,linkedin
emp_000117,2025-07-01,company_site
emp_000118,2025-06-01,referral
emp_000119,2021-05-01,referral
emp_000120,2023-03-02,referral
emp_000121,2023-04-01,linkedin
emp_000122,2023-08-01,linkedin
emp_000123,2020-11-30,referral
emp_000124,2022-08-31,boomerang
emp_000125,2020-08-31,company_site
emp_000126,2021-05-01,linkedin
emp_000127,2020-07-31,linkedin
emp_000128,2023-05-02,linkedin
emp_000129,2023-12-31,university
emp_000130,2024-07-31,referral
emp_000131,2023-12-01,linkedin
emp_000132,2025-04-01,company_site
emp_000133,2024-03-01,referral
emp_000134,2023-10-01,referral
emp_000135,2025-04-01,linkedin
emp_000136,2023-09-01,company_site
emp_000137,2025-12-31,linkedin
emp_000138,2021-10-31,university
emp_000139,2024-03-01,recruiter
emp_000140,2024-07-31,university
emp_000141,2020-05-31,company_site
emp_000142,2022-10-31,linkedin
emp_000143,2022-08-31,referral
emp_000144,2025-10-31,company_site
emp_000145,2024-10-31,company_site
emp_000146,2025-10-01,university
emp_000147,2022-06-01,boomerang
emp_000148,2025-12-31,conference
emp_000149,2022-12-31,company_site
emp_000150,2021-10-31,recruiter
emp_000151,2019-10-01,linkedin
emp_000152,2022-08-31,university
emp_000153,2023-07-02,referral
emp_000154,2024-05-31,referral
emp_000155,2023-08-01,referral
emp_000156,2022-07-01,linkedin
emp_000157,2025-05-01,recruiter
emp_000158,2023-03-02,linkedin
emp_000159,2024-10-31,linkedin
emp_000160,2017-05-01,conference
emp_000161,2022-12-31,recruiter
emp_000162,2024-01-31,university
emp_000163,2018-01-30,company_site
emp_000164,2025-08-01,referral
emp_000165,2022-10-31,referral
emp_000166,2021-11-30,linkedin
emp_000167,2022-07-01,recruiter
emp_000168,2022-04-01,company_site
emp_000169,2017-08-31,linkedin
emp_000170,2020-09-30,linkedin
emp_000171,2024-12-31,referral
emp_000172,2024-07-01,recruiter
emp_000173,2024-10-31,linkedin
emp_000174,2023-12-31,linkedin
emp_000175,2022-10-01,recruiter
emp_000176,2025-10-31,recruiter
