employee_id,quarter_end,rating
emp_000000,2026-04-02,4.39
emp_000000,2026-01-02,3.56
emp_000000,2025-10-04,3.81
emp_000000,2025-07-06,4.12
emp_000000,2025-04-07,4.06
emp_000000,2025-01-07,3.32
emp_000000,2024-10-09,4.17
emp_000000,2024-07-11,4.42
emp_000001,2026-04-02,3.28
emp_000001,2026-01-02,3.77
emp_000001,2025-10-04,4.34
emp_000001,2025-07-06,3.97
emp_000001,2025-04-07,2.99
emp_000001,2025-01-07,3.74
emp_000002,2026-04-02,3.98
emp_000002,2026-01-02,3.87
emp_000002,2025-10-04,4.25
emp_000002,2025-07-06,4.07
emp_000002,2025-04-07,4.18
emp_000002,2025-01-07,4.0
emp_000002,2024-10-09,3.3
emp_000002,2024-07-11,3.16
emp_000003,2026-04-02,4.02
emp_000003,2026-01-02,3.85
emp_000003,2025-10-04,3.7
emp_000003,2025-07-06,3.52
emp_000003,2025-04-07,4.31
emp_000003,2025-01-07,3.75
emp_000003,2024-10-09,3.49
emp_000003,2024-07-11,4.15
emp_000004,2026-04-02,3.68
emp_000004,2026-01-02,4.2
emp_000004,2025-10-04,3.83
emp_000004,2025-07-06,3.74
emp_000006,2026-04-02,4.35
emp_000006,2026-01-02,4.1
emp_000006,2025-10-04,4.28
emp_000006,2025-07-06,3.55
emp_000006,2025-04-07,3.58
emp_000006,2025-01-07,3.55
emp_000006,2024-10-09,4.23
emp_000006,2024-07-11,4.17
emp_000007,2026-04-02,3.96
emp_000008,2026-04-02,4.36
emp_000008,2026-01-02,4.21
emp_000008,2025-10-04,3.94
emp_000008,2025-07-06,4.59
emp_000008,2025-04-07,3.87
emp_000008,2025-01-07,4.29
emp_000008,2024-10-09,4.33
emp_000008,2024-07-11,3.7
emp_000009,2026-04-02,4.36
emp_000009,2026-01-02,4.63
emp_000009,2025-10-04,3.97
emp_000009,2025-07-06,4.35
emp_000009,2025-04-07,4.36
emp_000009,2025-01-07,4.01
emp_000009,2024-10-09,4.52
emp_000009,2024-07-11,4.85
emp_000010,2026-04-02,2.89
emp_000010,2026-01-02,3.49
emp_000010,2025-10-04,3.21
emp_000010,2025-07-06,3.05
emp_000010,2025-04-07,3.04
emp_000010,2025-01-07,3.07
emp_000010,2024-10-09,3.21
emp_000010,2024-07-11,3.25
emp_000011,2026-04-02,3.56
emp_000011,2026-01-02,3.68
emp_000011,2025-10-04,4.36
emp_000011,2025-07-06,3.88
emp_000011,2025-04-07,3.61
emp_000011,2025-01-07,3.55
emp_000011,2024-10-09,4.13
emp_000011,2024-07-11,2.97
emp_000012,2026-04-02,3.56
emp_000012,2026-01-02,3.98
emp_000012,2025-10-04,3.94
emp_000012,2025-07-06,4.0
emp_000012,2025-04-07,3.77
emp_000012,2025-01-07,3.8
emp_000012,2024-10-09,3.79
emp_000012,2024-07-11,3.97
emp_000013,2026-04-02,3.49
emp_000013,2026-01-02,3.82
emp_000013,2025-10-04,4.16
emp_000013,2025-07-06,3.51
emp_000013,2025-04-07,4.09
emp_000013,2025-01-07,3.92
emp_000013,2024-10-09,3.86
emp_000013,2024-07-11,3.36
emp_000014,2026-04-02,4.45
emp_000014,2026-01-02,4.27
emp_000014,2025-10-04,3.74
emp_000014,2025-07-06,3.86
emp_000014,2025-04-07,3.34
emp_000014,2025-01-07,4.21
emp_000014,2024-10-09,3.69
emp_000014,2024-07-11,4.51
emp_000015,2026-04-02,4.18
emp_000015,2026-01-02,3.84
emp_000015,2025-10-04,3.78
emp_000016,2026-04-02,3.74
emp_000016,2026-01-02,3.8
emp_000016,2025-10-04,3.7
emp_000016,2025-07-06,3.7
emp_000016,2025-04-07,3.85
emp_000016,2025-01-07,3.26
emp_000016,2024-10-09,3.97
emp_000017,2026-04-02,4.34
emp_000017,2026-01-02,3.76
emp_000017,2025-10-04,4.34
emp_000017,2025-07-06,3.4
emp_000018,2026-04-02,3.78
emp_000018,2026-01-02,3.2
emp_000018,2025-10-04,3.76
emp_000018,2025-07-06,3.49
emp_000018,2025-04-07,3.48
emp_000018,2025-01-07,3.92
emp_000018,2024-10-09,3.36
emp_000018,2024-07-11,3.41
emp_000019,2026-04-02,3.4
emp_000019,2026-01-02,3.83
emp_000019,2025-10-04,3.72
emp_000019,2025-07-06,3.73
emp_000020,2026-04-02,3.53
emp_000020,2026-01-02,3.85
emp_000020,2025-10-04,3.37
emp_000020,2025-07-06,3.13
emp_000020,2025-04-07,3.92
emp_000020,2025-01-07,3.57
emp_000020,2024-10-09,3.09
emp_000020,2024-07-11,3.53
emp_000021,2026-04-02,3.75
emp_000021,2026-01-02,3.34
emp_000021,2025-10-04,3.92
emp_000021,2025-07-06,3.59
emp_000021,2025-04-07,3.38
emp_000021,2025-01-07,4.06
emp_000021,2024-10-09,3.47
emp_000021,2024-07-11,4.11
emp_000022,2026-04-02,3.41
emp_000022,2026-01-02,3.23
emp_000022,2025-10-04,2.94
emp_000022,2025-07-06,3.34
emp_000022,2025-04-07,3.38
emp_000022,2025-01-07,3.24
emp_000022,2024-10-09,2.99
emp_000022,2024-07-11,2.79
emp_000023,2026-04-02,3.3
emp_000023,2026-01-02,3.86
emp_000023,2025-10-04,4.11
emp_000023,2025-07-06,3.62
emp_000023,2025-04-07,3.53
emp_000024,2026-04-02,4.14
emp_000024,2026-01-02,3.93
emp_000024,2025-10-04,4.29
emp_000025,2026-04-02,3.86
emp_000025,2026-01-02,3.72
emp_000025,2025-10-04,3.77
emp_000026,2026-04-02,3.28
emp_000026,2026-01-02,3.51
emp_000026,2025-10-04,2.57
emp_000026,2025-07-06,3.24
emp_000026,2025-04-07,3.28
emp_000026,2025-01-07,2.69
emp_000027,2026-04-02,3.93
emp_000027,2026-01-02,3.49
emp_000027,2025-10-04,3.97
emp_000027,2025-07-06,3.74
emp_000027,2025-04-07,4.05
emp_000027,2025-01-07,4.34
emp_000027,2024-10-09,3.98
emp_000027,2024-07-11,3.94
emp_000028,2026-04-02,4.04
emp_000028,2026-01-02,4.05
emp_000028,2025-10-04,3.87
emp_000029,2026-04-02,4.11
emp_000029,2026-01-02,2.94
emp_000029,2025-10-04,3.8
emp_000029,2025-07-06,3.5
emp_000029,2025-04-07,3.29
emp_000029,2025-01-07,3.85
emp_000030,2026-04-02,4.37
emp_000030,2026-01-02,3.79
emp_000030,2025-10-04,3.98
emp_000030,2025-07-06,3.64
emp_000030,2025-04-07,4.05
emp_000030,2025-01-07,3.38
emp_000030,2024-10-09,3.64
emp_000030,2024-07-11,3.68
emp_000031,2026-04-02,3.59
emp_000031,2026-01-02,3.38
emp_000031,2025-10-04,4.48
emp_000032,2026-04-02,4.13
emp_000032,2026-01-02,3.64
emp_000032,2025-10-04,3.73
emp_000032,2025-07-06,3.93
emp_000032,2025-04-07,3.9
emp_000032,2025-01-07,4.03
emp_000032,2024-10-09,3.78
emp_000032,2024-07-11,3.19
emp_000033,2026-04-02,4.04
emp_000033,2026-01-02,4.3
emp_000033,2025-10-04,4.66
emp_000033,2025-07-06,4.24
emp_000033,2025-04-07,4.26
emp_000033,2025-01-07,4.16
emp_000033,2024-10-09,4.28
emp_000034,2026-04-02,4.07
emp_000034,2026-01-02,4.25
emp_000034,2025-10-04,4.04
emp_000034,2025-07-06,3.6
emp_000034,2025-04-07,4.09
emp_000034,2025-01-07,3.64
emp_000034,2024-10-09,4.25
emp_000034,2024-07-11,3.69
emp_000035,2026-04-02,4.02
emp_000035,2026-01-02,4.27
emp_000035,2025-10-04,3.34
emp_000035,2025-07-06,3.35
emp_000035,2025-04-07,3.97
emp_000035,2025-01-07,4.02
emp_000035,2024-10-09,3.92
emp_000035,2024-07-11,3.41
emp_000036,2026-04-02,3.54
emp_000036,2026-01-02,3.63
emp_000036,2025-10-04,4.16
emp_000036,2025-07-06,4.84
emp_000037,2026-04-02,3.68
emp_000037,2026-01-02,4.28
emp_000037,2025-10-04,3.38
emp_000037,2025-07-06,4.23
emp_000037,2025-04-07,3.7
emp_000037,2025-01-07,3.59
emp_000038,2026-04-02,3.8
emp_000038,2026-01-02,3.49
emp_000038,2025-10-04,4.21
emp_000038,2025-07-06,3.65
emp_000038,2025-04-07,3.35
emp_000038,2025-01-07,3.21
emp_000038,2024-10-09,3.57
emp_000039,2026-04-02,4.14
emp_000039,2026-01-02,4.69
emp_000040,2026-04-02,3.89
emp_000040,2026-01-02,4.54
emp_000040,2025-10-04,3.44
emp_000040,2025-07-06,4.52
emp_000040,2025-04-07,4.45
emp_000040,2025-01-07,4.24
emp_000040,2024-10-09,4.3
emp_000041,2026-04-02,4.37
emp_000041,2026-01-02,4.06
emp_000041,2025-10-04,4.76
emp_000041,2025-07-06,4.38
emp_000041,2025-04-07,4.54
