employee_id,snapshot_date,mood,stress_level,sleep_quality,energy_level,burnout_exhaustion
emp_000000,2026-07-01,0.5954,0.2805,0.3879,0.6313,0.5086
emp_000001,2026-07-01,0.7578,0.3865,0.4433,0.7343,0.6653
emp_000002,2026-07-01,0.1748,0.6126,0.201,0.5796,0.6417
emp_000003,2026-07-01,0.6406,0.2983,0.4175,0.7254,0.347
emp_000004,2026-07-01,0.5112,0.5229,0.2632,0.6117,0.4046
emp_000006,2026-07-01,0.1834,0.4648,0.3338,0.5756,0.5644
emp_000007,2026-07-01,0.3177,0.6491,0.2752,0.4927,0.6657
emp_000008,2026-07-01,0.4923,0.4,0.0961,0.5389,0.4635
emp_000009,2026-07-01,0.4782,0.2622,0.1421,0.6688,0.3488
emp_000010,2026-07-01,0.5088,0.4635,0.2628,0.275,0.3393
emp_000012,2026-07-01,0.5618,0.1974,0.3148,0.5714,0.2411
emp_000016,2026-07-01,0.1773,0.5325,0.1898,0.3901,0.6696
emp_000017,2026-07-01,0.4696,0.4013,0.1603,0.5881,0.4954
emp_000019,2026-07-01,0.3956,0.5033,0.325,0.575,0.4125
emp_000020,2026-07-01,0.4401,0.2832,0.2758,0.5171,0.511
emp_000022,2026-07-01,0.384,0.4827,0.303,0.3566,0.4751
emp_000023,2026-07-01,0.6258,0.6022,0.1639,0.4838,0.3778
emp_000024,2026-07-01,0.4399,0.2481,0.3908,0.4225,0.6538
emp_000027,2026-07-01,0.4769,0.2514,0.1058,0.4474,0.5128
emp_000028,2026-07-01,0.5926,0.4758,0.6027,0.5091,0.3705
emp_000029,2026-07-01,0.4317,0.5095,0.2966,0.5072,0.4508
emp_000031,2026-07-01,0.4712,0.265,0.2403,0.3324,0.3993
emp_000032,2026-07-01,0.6403,0.3517,0.4974,0.5798,0.5603
emp_000033,2026-07-01,0.4178,0.3287,0.4596,0.4337,0.3342
emp_000034,2026-07-01,0.594,0.073,0.2514,0.4431,0.5685
emp_000035,2026-07-01,0.3727,0.3877,0.4211,0.4252,0.271
emp_000039,2026-07-01,0.4682,0.4261,0.2873,0.4923,0.5915
emp_000040,2026-07-01,0.6584,0.3757,0.3681,0.5123,0.4139
emp_000041,2026-07-01,0.5517,0.1949,0.5456,0.5156,0.331
emp_000042,2026-07-01,0.6582,0.5608,0.4799,0.4509,0.523
emp_000044,2026-07-01,0.6222,0.4281,0.0159,0.7423,0.4021
emp_000045,2026-07-01,0.7219,0.1528,0.3161,0.4806,0.2589
emp_000046,2026-07-01,0.5492,0.3542,0.2869,0.5974,0.5869
emp_000047,2026-07-01,0.2362,0.867,0.3828,0.2444,0.5709
emp_000048,2026-07-01,0.7402,0.4087,0.1938,0.6987,0.3998
emp_000049,2026-07-01,0.5228,0.3656,0.3032,0.2285,0.4778
emp_000051,2026-07-01,0.3725,0.5809,0.3121,0.6,0.5547
emp_000052,2026-07-01,0.4321,0.6494,0.4121,0.36,0.583
emp_000053,2026-07-01,0.7123,0.169,0.4376,0.5459,0.4422
emp_000054,2026-07-01,0.4446,0.3422,0.2743,0.4435,0.5073
emp_000055,2026-07-01,0.6662,0.4191,0.1772,0.6471,0.2976
emp_000056,2026-07-01,0.5883,0.7471,0.0883,0.1514,0.513
emp_000057,2026-07-01,0.4401,0.2734,0.3181,0.4214,0.5708
emp_000059,2026-07-01,0.567,0.5873,0.4425,0.5484,0.6184
emp_000061,2026-07-01,0.5545,0.3301,0.4717,0.6047,0.4393
emp_000063,2026-07-01,0.4328,0.1434,0.609,0.6938,0.3675
emp_000064,2026-07-01,0.501,0.6287,0.2389,0.4453,0.4677
emp_000065,2026-07-01,0.3613,0.2518,0.1548,0.3717,0.617
emp_000066,2026-07-01,0.5424,0.1413,0.4208,0.5352,0.3033
emp_000068,2026-07-01,0.7378,0.5531,0.3451,0.5704,0.4859
emp_000069,2026-07-01,0.3037,0.4433,0.4217,0.6527,0.5703
emp_000070,2026-07-01,0.4879,0.425,0.0,0.2803,0.5581
emp_000071,2026-07-01,0.753,0.3888,0.1188,0.457,0.4758
emp_000072,2026-07-01,0.4972,0.2824,0.1601,0.4942,0.2822
emp_000074,2026-07-01,0.708,0.2272,0.5632,0.5891,0.3456
emp_000076,2026-07-01,0.6506,0.1101,0.3467,0.6001,0.3377
emp_000077,2026-07-01,0.4641,0.4495,0.3962,0.3676,0.5056
emp_000078,2026-07-01,0.4264,0.5399,0.2469,0.4021,0.414
emp_000081,2026-07-01,0.5334,0.2395,0.2912,0.6639,0.3474
emp_000082,2026-07-01,0.2573,0.5796,0.2419,0.3709,0.3848
emp_000083,2026-07-01,0.567,0.3404,0.3277,0.7789,0.3923
emp_000087,2026-07-01,0.5193,0.4301,0.5408,0.5809,0.4349
emp_000090,2026-07-01,0.3535,0.3758,0.2888,0.4906,0.4428
emp_000093,2026-07-01,0.5424,0.0,0.6563,0.6715,0.4709
emp_000094,2026-07-01,0.5182,0.5667,0.5231,0.5774,0.4449
emp_000096,2026-07-01,0.5954,0.705,0.2071,0.5719,0.5492
emp_000097,2026-07-01,0.4766,0.4221,0.2545,0.4319,0.4395
emp_000099,2026-07-01,0.7658,0.0375,0.4096,0.6167,0.3697
emp_000100,2026-07-01,0.5954,0.3383,0.5013,0.6931,0.5885
emp_000102,2026-07-01,0.7277,0.3655,0.5119,0.5966,0.4119
emp_000103,2026-07-01,0.6623,0.3589,0.3679,0.5658,0.3687
emp_000105,2026-07-01,0.4355,0.6538,0.2239,0.5919,0.5257
emp_000106,2026-07-01,0.4755,0.4358,0.2508,0.5313,0.4322
emp_000107,2026-07-01,0.5046,0.5004,0.2575,0.5901,0.5576
emp_000108,2026-07-01,0.2963,0.5302,0.2191,0.5434,0.3533
emp_000109,2026-07-01,0.6483,0.4567,0.2502,0.607,0.4262
emp_000110,2026-07-01,0.4421,0.4149,0.2429,0.4182,0.3615
emp_000111,2026-07-01,0.745,0.1587,0.7012,0.613,0.4548
emp_000113,2026-07-01,0.4051,0.4893,0.4123,0.6562,0.4997
emp_000115,2026-07-01,0.5054,0.392,0.5016,0.618,0.5156
emp_000117,2026-07-01,0.5257,0.3294,0.1971,0.4148,0.5835
emp_000118,2026-07-01,0.5749,0.0652,0.2457,0.6959,0.4706
emp_000119,2026-07-01,0.5613,0.2945,0.4238,0.5923,0.6617
emp_000120,2026-07-01,0.6308,0.4095,0.2318,0.393,0.4146
emp_000122,2026-07-01,0.5554,0.2281,0.2616,0.4746,0.3523
emp_000123,2026-07-01,0.4798,0.2184,0.301,0.6016,0.5975
emp_000124,2026-07-01,0.6748,0.4188,0.2405,0.4698,0.5494
emp_000125,2026-07-01,0.7411,0.1437,0.3441,0.6625,0.4862
emp_000126,2026-07-01,0.4993,0.4096,0.2638,0.5402,0.4125
emp_000127,2026-07-01,0.582,0.4588,0.4498,0.5351,0.5061
emp_000128,2026-07-01,0.4592,0.4534,0.2213,0.5074,0.5785
emp_000129,2026-07-01,0.6362,0.4618,0.4706,0.6819,0.4892
emp_000130,2026-07-01,0.5751,0.5191,0.4326,0.7197,0.4658
emp_000131,2026-07-01,0.4023,0.3338,0.1612,0.5714,0.3757
emp_000132,2026-07-01,0.386,0.4114,0.4529,0.5399,0.6338
emp_000133,2026-07-01,0.6443,0.0429,0.3993,0.5011,0.4266
emp_000134,2026-07-01,0.5549,0.1469,0.5851,0.745,0.5815
emp_000137,2026-07-01,0.5204,0.3788,0.4265,0.6684,0.4174
emp_000138,2026-07-01,0.5591,0.4035,0.3066,0.5009,0.5781
emp_000139,2026-07-01,0.5291,0.3613,0.2389,0.6381,0.6
emp_000141,2026-07-01,0.4477,0.2302,0.4226,0.4759,0.4094
emp_000142,2026-07-01,0.5381,0.1061,0.3832,0.4597,0.5323
emp_000143,2026-07-01,0.7123,0.3262,0.5513,0.6698,0.5236
emp_000144,2026-07-01,0.7353,0.2647,0.2107,0.4036,0.3803
emp_000145,2026-07-01,0.5566,0.169,0.3847,0.5936,0.4534
emp_000146,2026-07-01,0.7491,0.433,0.1981,0.5711,0.6207
emp_000147,2026-07-01,0.587,0.4032,0.1576,0.5522,0.5519
emp_000148,2026-07-01,0.5633,0.2898,0.1156,0.5095,0.5135
emp_000149,2026-07-01,0.6201,0.2802,0.1519,0.6507,0.2832
emp_000150,2026-07-01,0.5617,0.4793,0.4876,0.3683,0.3431
emp_000152,2026-07-01,0.4962,0.391,0.3618,0.606,0.6038
emp_000153,2026-07-01,0.3885,0.585,0.3788,0.5332,0.541
emp_000154,2026-07-01,0.5358,0.3742,0.2271,0.5015,0.5631
emp_000155,2026-07-01,0.6757,0.2878,0.4384,0.5779,0.497
emp_000158,2026-07-01,0.6819,0.4918,0.4522,0.5211,0.3956
emp_000159,2026-07-01,0.3749,0.616,0.2637,0.5428,0.4112
emp_000160,2026-07-01,0.5973,0.3413,0.275,0.5037,0.4451
emp_000161,2026-07-01,0.3478,0.4348,0.3074,0.5695,0.4231
emp_000162,2026-07-01,0.6676,0.0,0.6124,0.7125,0.4013
emp_000163,2026-07-01,0.7607,0.1441,0.5941,0.6416,0.6532
emp_000164,2026-07-01,0.6269,0.3123,0.5122,0.64,0.5253
