employee_id,effective_date,base_salary,bonus_target_pct,equity_value
emp_000000,2026-07-01,109715.35,0.07,11896.69
emp_000000,2025-07-01,103505.05,0.07,11223.29
emp_000001,2026-07-01,96196.73,0.05,7241.83
emp_000002,2026-07-01,203494.19,0.15,62852.0
emp_000002,2025-07-01,191975.65,0.15,59294.34
emp_000002,2024-07-01,181109.1,0.15,55938.06
emp_000003,2026-07-01,169986.06,0.15,50179.67
emp_000003,2025-07-01,160364.21,0.15,47339.31
emp_000003,2024-07-01,151286.99,0.15,44659.73
emp_000004,2026-07-01,206492.01,0.2,94724.58
emp_000004,2025-07-01,194803.78,0.2,89362.81
emp_000005,2026-07-01,150217.2,0.1,19850.43
emp_000005,2025-07-01,141714.34,0.1,18726.82
emp_000006,2026-07-01,261487.02,0.2,83211.85
emp_000006,2025-07-01,246685.87,0.2,78501.75
emp_000006,2024-07-01,232722.52,0.2,74058.25
emp_000007,2026-07-01,203979.61,0.2,58643.58
emp_000007,2025-07-01,192433.59,0.2,55324.13
emp_000008,2026-07-01,223086.63,0.2,104491.66
emp_000008,2025-07-01,210459.08,0.2,98577.04
emp_000008,2024-07-01,198546.31,0.2,92997.21
emp_000009,2026-07-01,208906.66,0.2,127336.25
emp_000009,2025-07-01,197081.75,0.2,120128.54
emp_000009,2024-07-01,185926.18,0.2,113328.81
emp_000010,2026-07-01,138484.85,0.1,20959.95
emp_000010,2025-07-01,130646.08,0.1,19773.54
emp_000011,2026-07-01,152709.52,0.12,67955.67
emp_000012,2026-07-01,188314.16,0.1,21486.5
emp_000012,2025-07-01,177654.87,0.1,20270.28
emp_000013,2026-07-01,118035.69,0.1,23163.85
emp_000013,2025-07-01,111354.42,0.1,21852.69
emp_000014,2026-07-01,323485.83,0.25,173494.0
emp_000014,2025-07-01,305175.31,0.25,163673.58
emp_000015,2026-07-01,90636.1,0.05,2840.99
emp_000016,2026-07-01,106966.99,0.07,11436.55
emp_000017,2026-07-01,351320.34,0.35,419600.18
emp_000017,2025-07-01,331434.28,0.35,395849.23
emp_000017,2024-07-01,312673.85,0.35,373442.67
emp_000018,2026-07-01,84773.67,0.05,2733.83
emp_000019,2026-07-01,106657.43,0.07,14280.36
emp_000020,2026-07-01,202363.49,0.15,102193.14
emp_000021,2026-07-01,94776.58,0.07,9083.79
emp_000021,2025-07-01,89411.87,0.07,8569.61
emp_000022,2026-07-01,117352.9,0.07,11397.69
emp_000023,2026-07-01,221053.87,0.12,45384.55
emp_000023,2025-07-01,208541.39,0.12,42815.61
emp_000023,2024-07-01,196737.16,0.12,40392.09
emp_000024,2026-07-01,84943.04,0.07,15603.34
emp_000024,2025-07-01,80134.94,0.07,14720.13
emp_000024,2024-07-01,75599.0,0.07,13886.92
emp_000025,2026-07-01,102829.08,0.07,13784.38
emp_000025,2025-07-01,97008.57,0.07,13004.13
emp_000025,2024-07-01,91517.52,0.07,12268.05
emp_000026,2026-07-01,194390.73,0.12,49460.2
emp_000026,2025-07-01,183387.48,0.12,46660.57
emp_000027,2026-07-01,155902.99,0.2,114022.46
emp_000027,2025-07-01,147078.29,0.2,107568.36
emp_000027,2024-07-01,138753.11,0.2,101479.58
emp_000028,2026-07-01,241459.26,0.25,215680.92
emp_000028,2025-07-01,227791.75,0.25,203472.57
emp_000029,2026-07-01,198493.29,0.15,110215.37
emp_000029,2025-07-01,187257.82,0.15,103976.76
emp_000030,2026-07-01,100745.07,0.07,10359.39
emp_000031,2026-07-01,147430.82,0.1,23579.78
emp_000032,2026-07-01,160974.97,0.1,34411.74
emp_000033,2026-07-01,99712.81,0.07,10949.65
emp_000034,2026-07-01,56555.62,0.05,4853.12
emp_000035,2026-07-01,88729.52,0.07,9575.75
emp_000035,2025-07-01,83707.09,0.07,9033.73
emp_000036,2026-07-01,73185.07,0.05,4195.14
emp_000036,2025-07-01,69042.52,0.05,3957.68
emp_000036,2024-07-01,65134.45,0.05,3733.66
emp_000037,2026-07-01,100478.52,0.05,5714.08
emp_000038,2026-07-01,312359.44,0.25,192808.94
emp_000038,2025-07-01,294678.72,0.25,181895.23
emp_000039,2026-07-01,589187.51,0.55,1056961.27
emp_000039,2025-07-01,555837.27,0.55,997133.27
emp_000040,2026-07-01,106306.43,0.07,14042.38
emp_000040,2025-07-01,100289.08,0.07,13247.53
emp_000040,2024-07-01,94612.34,0.07,12497.67
emp_000041,2026-07-01,185876.52,0.1,26490.7
emp_000041,2025-07-01,175355.21,0.1,24991.23
emp_000042,2026-07-01,197332.35,0.15,120791.68
emp_000042,2025-07-01,186162.59,0.15,113954.42
emp_000042,2024-07-01,175625.09,0.15,107504.17
emp_000043,2026-07-01,119871.28,0.07,14755.1
emp_000044,2026-07-01,132977.66,0.1,24876.59
emp_000045,2026-07-01,146665.96,0.15,55164.91
emp_000045,2025-07-01,138364.11,0.15,52042.37
emp_000046,2026-07-01,254336.74,0.2,109653.72
emp_000047,2026-07-01,201758.78,0.12,60615.02
emp_000047,2025-07-01,190338.47,0.12,57183.98
emp_000048,2026-07-01,175859.01,0.12,64669.54
emp_000049,2026-07-01,95514.31,0.07,8581.15
emp_000050,2026-07-01,156734.81,0.1,23868.9
emp_000050,2025-07-01,147863.03,0.1,22517.83
emp_000050,2024-07-01,139493.42,0.1,21243.24
emp_000051,2026-07-01,86746.85,0.07,10399.07
emp_000051,2025-07-01,81836.65,0.07,9810.44
emp_000052,2026-07-01,132097.41,0.1,26445.65
emp_000053,2026-07-01,95307.92,0.07,11428.77
emp_000054,2026-07-01,160711.58,0.1,19533.79
emp_000054,2025-07-01,151614.7,0.1,18428.1
emp_000054,2024-07-01,143032.73,0.1,17385.0
emp_000055,2026-07-01,130494.26,0.07,12904.54
emp_000056,2026-07-01,110491.85,0.07,14385.79
emp_000057,2026-07-01,267336.92,0.15,97304.94
emp_000057,2025-07-01,252204.64,0.15,91797.11
emp_000058,2026-07-01,68432.99,0.05,5689.51
emp_000059,2026-07-01,105454.09,0.07,12477.77
emp_000060,2026-07-01,133606.83,0.07,12543.34
emp_000060,2025-07-01,126044.18,0.07,11833.34
emp_000061,2026-07-01,137228.56,0.07,13508.31
emp_000062,2026-07-01,78545.73,0.07,10992.94
emp_000062,2025-07-01,74099.75,0.07,10370.7
emp_000063,2026-07-01,148979.67,0.1,33818.27
emp_000064,2026-07-01,113327.36,0.1,24588.45
emp_000064,2025-07-01,106912.6,0.1,23196.65
emp_000065,2026-07-01,73234.16,0.05,4955.79
emp_000066,2026-07-01,97321.73,0.07,10098.91
emp_000067,2026-07-01,187056.82,0.12,65868.97
emp_000067,2025-07-01,176468.7,0.12,62140.54
emp_000067,2024-07-01,166479.9,0.12,58623.15
emp_000068,2026-07-01,209838.56,0.2,91359.71
emp_000068,2025-07-01,197960.91,0.2,86188.41
emp_000068,2024-07-01,186755.57,0.2,81309.82
emp_000069,2026-07-01,122933.53,0.1,23361.43
emp_000069,2025-07-01,115975.03,0.1,22039.08
emp_000069,2024-07-01,109410.4,0.1,20791.59
emp_000070,2026-07-01,259467.77,0.25,206674.27
emp_000070,2025-07-01,244780.92,0.25,194975.73
emp_000071,2026-07-01,96074.31,0.05,4810.1
emp_000072,2026-07-01,156775.71,0.1,27617.23
emp_000072,2025-07-01,147901.61,0.1,26053.99
emp_000072,2024-07-01,139529.82,0.1,24579.24
emp_000073,2026-07-01,148678.28,0.1,23463.1
emp_000073,2025-07-01,140262.53,0.1,22135.0
emp_000074,2026-07-01,152183.12,0.15,47516.23
emp_000074,2025-07-01,143568.98,0.15,44826.63
emp_000074,2024-07-01,135442.44,0.15,42289.28
emp_000075,2026-07-01,192061.05,0.2,94514.06
emp_000075,2025-07-01,181189.67,0.2,89164.21
emp_000075,2024-07-01,170933.65,0.2,84117.18
emp_000076,2026-07-01,128707.06,0.1,26338.18
emp_000076,2025-07-01,121421.75,0.1,24847.34
emp_000076,2024-07-01,114548.83,0.1,23440.89
emp_000077,2026-07-01,135825.85,0.1,29861.45
emp_000077,2025-07-01,128137.59,0.1,28171.18
emp_000078,2026-07-01,153210.45,0.12,54154.17
emp_000079,2026-07-01,90592.06,0.05,5098.48
emp_000080,2026-07-01,72531.57,0.05,5440.01
emp_000081,2026-07-01,208920.23,0.2,96057.65
emp_000082,2026-07-01,213944.5,0.15,86402.34
emp_000082,2025-07-01,201834.43,0.15,81511.64
emp_000083,2026-07-01,99186.34,0.07,19815.01
emp_000083,2025-07-01,93572.02,0.07,18693.41
emp_000084,2026-07-01,108619.3,0.12,72358.29
emp_000084,2025-07-01,102471.04,0.12,68262.54
emp_000084,2024-07-01,96670.79,0.12,64398.62
emp_000085,2026-07-01,75403.89,0.05,5141.14
emp_000086,2026-07-01,131606.96,0.1,20375.46
emp_000086,2025-07-01,124157.51,0.1,19222.13
emp_000086,2024-07-01,117129.73,0.1,18134.09
emp_000087,2026-07-01,181836.46,0.12,53600.47
emp_000087,2025-07-01,171543.83,0.12,50566.48
emp_000087,2024-07-01,161833.8,0.12,47704.23
emp_000088,2026-07-01,233286.48,0.15,133654.63
emp_000088,2025-07-01,220081.58,0.15,126089.27
emp_000089,2026-07-01,224802.14,0.12,63976.68
emp_000089,2025-07-01,212077.49,0.12,60355.36
emp_000090,2026-07-01,114899.32,0.07,11751.21
emp_000090,2025-07-01,108395.58,0.07,11086.05
emp_000091,2026-07-01,277355.22,0.2,114826.52
emp_000091,2025-07-01,261655.87,0.2,108326.91
emp_000091,2024-07-01,246845.16,0.2,102195.19
emp_000092,2026-07-01,168922.19,0.15,46296.03
emp_000092,2025-07-01,159360.56,0.15,43675.5
emp_000092,2024-07-01,150340.15,0.15,41203.3
emp_000093,2026-07-01,92534.28,0.07,12175.46
emp_000094,2026-07-01,126845.38,0.07,11521.87
emp_000095,2026-07-01,164454.32,0.2,65855.86
emp_000095,2025-07-01,155145.58,0.2,62128.17
emp_000096,2026-07-01,30000.0,0.05,3849.14
emp_000097,2026-07-01,191336.64,0.15,43980.49
emp_000098,2026-07-01,217497.25,0.2,72636.54
emp_000098,2025-07-01,205186.08,0.2,68525.04
emp_000098,2024-07-01,193571.78,0.2,64646.26
emp_000099,2026-07-01,148989.61,0.12,49387.11
emp_000100,2026-07-01,279297.37,0.25,154569.21
emp_000101,2026-07-01,82621.92,0.05,2900.9
emp_000102,2026-07-01,167696.85,0.12,61030.88
emp_000102,2025-07-01,158204.58,0.12,57576.3
emp_000102,2024-07-01,149249.6,0.12,54317.27
emp_000103,2026-07-01,108558.62,0.07,9495.77
emp_000104,2026-07-01,176236.31,0.12,52747.57
emp_000104,2025-07-01,166260.67,0.12,49761.86
emp_000105,2026-07-01,212525.4,0.15,42340.66
emp_000105,2025-07-01,200495.66,0.15,39944.02
emp_000105,2024-07-01,189146.85,0.15,37683.04
emp_000106,2026-07-01,62451.72,0.05,4661.52
emp_000107,2026-07-01,184916.57,0.15,68319.34
emp_000107,2025-07-01,174449.59,0.15,64452.21
emp_000108,2026-07-01,151304.15,0.1,35008.78
emp_000109,2026-07-01,151438.09,0.1,13197.39
emp_000109,2025-07-01,142866.12,0.1,12450.37
emp_000110,2026-07-01,68370.32,0.05,4709.9
emp_000110,2025-07-01,64500.3,0.05,4443.3
emp_000110,2024-07-01,60849.34,0.05,4191.79
emp_000111,2026-07-01,101272.04,0.07,11736.06
emp_000111,2025-07-01,95539.66,0.07,11071.75
emp_000112,2026-07-01,200475.34,0.15,36154.42
emp_000113,2026-07-01,84252.04,0.05,5608.93
emp_000114,2026-07-01,77258.97,0.05,4269.17
emp_000115,2026-07-01,59333.89,0.05,4329.39
emp_000115,2025-07-01,55975.37,0.05,4084.33
emp_000115,2024-07-01,52806.95,0.05,3853.14
emp_000116,2026-07-01,118526.53,0.1,17410.04
emp_000116,2025-07-01,111817.48,0.1,16424.57
emp_000116,2024-07-01,105488.19,0.1,15494.87
emp_000117,2026-07-01,181138.15,0.12,56270.14
emp_000118,2026-07-01,68168.76,0.05,5174.02
emp_000119,2026-07-01,171238.3,0.15,37815.35
