employee_id,hire_date,hire_source
emp_000000,2024-07-01,referral
emp_000001,2024-11-30,linkedin
emp_000002,2021-06-01,boomerang
emp_000003,2022-10-01,company_site
emp_000004,2024-03-01,linkedin
emp_000005,2024-03-01,linkedin
emp_000006,2019-07-02,conference
emp_000007,2024-05-31,recruiter
emp_000008,2023-01-30,recruiter
emp_000009,2022-07-01,referral
emp_000010,2024-07-01,linkedin
emp_000011,2025-04-01,conference
emp_000012,2024-05-01,referral
emp_000013,2023-09-01,company_site
emp_000014,2023-10-31,referral
emp_000015,2026-06-01,university
emp_000016,2024-08-31,linkedin
emp_000017,2020-08-31,company_site
emp_000018,2025-08-01,recruiter
emp_000019,2025-06-01,referral
emp_000020,2024-08-31,recruiter
emp_000021,2023-08-01,referral
emp_000022,2024-12-31,linkedin
emp_000023,2022-07-01,referral
emp_000024,2023-06-01,recruiter
emp_000025,2021-08-01,company_site
emp_000026,2023-12-31,referral
emp_000027,2022-07-01,linkedin
emp_000028,2024-03-01,conference
emp_000029,2023-12-01,company_site
emp_000030,2025-08-31,university
emp_000031,2024-10-31,company_site
emp_000032,2025-03-01,referral
emp_000033,2025-11-30,referral
emp_000034,2024-08-31,recruiter
emp_000035,2024-07-01,linkedin
emp_000036,2022-10-01,referral
emp_000037,2025-03-01,recruiter
emp_000038,2024-07-01,linkedin
emp_000039,2024-03-01,referral
emp_000040,2022-10-01,linkedin
emp_000041,2023-12-01,company_site
emp_000042,2021-08-31,recruiter
emp_000043,2026-05-02,linkedin
emp_000044,2024-11-30,referral
emp_000045,2023-12-31,university
emp_000046,2024-09-30,conference
emp_000047,2024-04-01,referral
emp_000048,2025-01-30,recruiter
emp_000049,2025-10-01,linkedin
emp_000050,2022-08-01,linkedin
emp_000051,2024-03-01,recruiter
emp_000052,2025-12-31,linkedin
emp_000053,2025-10-31,referral
emp_000054,2019-01-30,referral
emp_000055,2025-07-01,recruiter
emp_000056,2025-10-01,linkedin
emp_000057,2024-07-01,recruiter
emp_000058,2025-03-01,referral
emp_000059,2025-04-01,recruiter
emp_000060,2024-01-31,recruiter
emp_000061,2025-08-01,conference
emp_000062,2024-07-01,referral
emp_000063,2025-03-01,referral
emp_000064,2024-05-31,linkedin
emp_000065,2025-04-01,referral
emp_000066,2025-12-31,referral
emp_000067,2023-07-02,referral
emp_000068,2021-08-01,recruiter
emp_000069,2020-07-01,company_site
emp_000070,2023-10-01,referral
emp_000071,2025-11-30,company_site
emp_000072,2023-04-01,referral
emp_000073,2024-07-01,referral
emp_000074,2022-10-01,linkedin
emp_000075,2022-08-01,boomerang
emp_000076,2022-12-01,referral
emp_000077,2023-12-01,linkedin
emp_000078,2025-01-30,referral
emp_000079,2025-05-01,linkedin
emp_000080,2025-05-01,referral
emp_000081,2024-10-31,university
emp_000082,2024-07-01,referral
emp_000083,2024-05-31,linkedin
emp_000084,2022-10-31,recruiter
emp_000085,2024-09-30,university
emp_000086,2021-06-01,boomerang
emp_000087,2022-08-01,university
emp_000088,2023-12-31,company_site
emp_000089,2024-05-31,linkedin
emp_000090,2024-04-01,recruiter
emp_000091,2020-12-30,referral
emp_000092,2020-09-30,referral
emp_000093,2025-08-01,referral
emp_000094,2025-06-01,linkedin
emp_000095,2024-05-01,company_site
emp_000096,2025-03-01,referral
emp_000097,2024-07-31,recruiter
emp_000098,2021-03-01,linkedin
emp_000099,2024-07-31,linkedin
emp_000100,2024-07-31,recruiter
emp_000101,2025-03-01,recruiter
emp_000102,2023-03-02,recruiter
emp_000103,2024-12-31,recruiter
emp_000104,2023-10-01,referral
emp_000105,2020-07-01,university
emp_000106,2026-07-01,linkedin
emp_000107,2023-12-31,linkedin
emp_000108,2024-11-30,conference
emp_000109,2023-09-01,university
emp_000110,2023-06-01,boomerang
emp_000111,2023-08-01,recruiter
emp_000112,2025-01-30,referral
emp_000113,2025-10-31,company_site
emp_000114,2026-01-30,company_site
emp_000115,2021-09-30,university
emp_000116,2021-04-01,referral
emp_000117,2024-11-30,recruiter
emp_000118,2026-04-01,referral
emp_000119,2024-01-31,referral
emp_000120,2022-05-01,company_site
emp_000121,2025-12-31,referral
emp_000122,2024-05-01,linkedin
emp_000123,2025-05-01,recruiter
emp_000124,2024-08-31,company_site
emp_000125,2025-04-01,company_site
emp_000126,2024-11-30,referral
emp_000127,2025-11-30,company_site
emp_000128,2023-07-02,referral
emp_000129,2026-04-01,linkedin
emp_000130,2023-12-31,company_site
emp_000131,2021-03-01,linkedin
emp_000132,2023-08-01,referral
emp_000133,2023-06-01,linkedin
emp_000134,2024-05-31,company_site
emp_000135,2019-08-01,university
emp_000136,2024-03-01,boomerang
emp_000137,2026-01-30,linkedin
emp_000138,2024-10-31,recruiter
emp_000139,2024-05-01,company_site
emp_000140,2025-04-01,linkedin
emp_000141,2025-03-01,university
emp_000142,2024-11-30,university
emp_000143,2024-03-01,company_site
emp_000144,2025-05-01,referral
emp_000145,2022-03-02,referral
emp_000146,2024-07-01,company_site
emp_000147,2020-05-31,university
emp_000148,2024-05-31,company_site
emp_000149,2024-05-31,recruiter
emp_000150,2024-07-01,referral
emp_000151,2025-08-31,linkedin
emp_000152,2018-11-30,referral
emp_000153,2025-03-01,recruiter
emp_000154,2021-08-01,linkedin
emp_000155,2023-12-31,recruiter
emp_000156,2025-06-01,referral
emp_000157,2022-03-02,university
emp_000158,2024-08-31,linkedin
emp_000159,2022-05-01,company_site
emp_000160,2022-10-01,recruiter
emp_000161,2025-08-01,recruiter
emp_000162,2026-01-30,linkedin
emp_000163,2019-08-31,linkedin
emp_000164,2023-07-02,referral
emp_000165,2024-04-01,recruiter
emp_000166,2024-05-31,company_site
emp_000167,2021-10-31,recruiter
emp_000168,2025-01-30,referral
emp_000169,2024-05-01,recruiter
emp_000170,2024-03-01,recruiter
emp_000171,2021-10-31,referral
emp_000172,2024-08-31,recruiter
emp_000173,2024-05-31,referral
emp_000174,2023-08-01,company_site
emp_000175,2024-07-01,company_site
emp_000176,2025-10-31,recruiter
emp_000177,2020-05-01,linkedin
emp_000178,2021-10-31,referral
emp_000179,2021-12-31,company_site
emp_000180,2022-10-01,recruiter
emp_000181,2023-09-01,referral
emp_000182,2023-12-01,referral
emp_000183,2023-09-01,recruiter
emp_000184,2023-12-31,recruiter
emp_000185,2024-04-01,referral
emp_000186,2022-12-31,linkedin
emp_000187,2019-08-31,linkedin
emp_000188,2020-11-30,university
emp_000189,2018-05-01,referral
emp_000190,2024-07-01,company_site
emp_000191,2021-06-01,linkedin
emp_000192,2024-10-31,referral
emp_000193,2022-12-01,recruiter
emp_000194,2025-04-01,referral
emp_000195,2020-07-01,recruiter
emp_000196,2025-06-01,referral
emp_000197,2026-07-01,referral
emp_000198,2022-06-01,university
emp_000199,2025-03-01,university
emp_000200,2022-06-01,recruiter
emp_000201,2024-08-31,university
emp_000202,2023-10-31,conference
emp_000203,2025-10-01,recruiter
emp_000204,2023-12-31,company_site
emp_000205,2024-05-01,conference
emp_000206,2018-03-01,linkedin
emp_000207,2025-07-01,linkedin
emp_000208,2023-04-01,referral
emp_000209,2025-04-01,company_site
emp_000210,2024-05-31,recruiter
emp_000211,2024-11-30,linkedin
emp_000212,2025-07-01,company_site
emp_000213,2023-06-01,boomerang
emp_000214,2024-05-31,referral
emp_000215,2021-07-01,referral
emp_000216,2024-07-31,boomerang
emp_000217,2023-05-02,referral
emp_000218,2010-10-31,linkedin
emp_000219,2025-05-01,recruiter
emp_000220,2024-07-01,referral
emp_000221,2023-06-01,referral
emp_000222,2020-07-01,recruiter
emp_000223,2026-01-30,conference
emp_000224,2021-12-31,referral
emp_000225,2025-11-30,recruiter
emp_000226,2021-11-30,referral
emp_000227,2024-07-31,referral
emp_000228,2021-11-30,linkedin
emp_000229,2025-05-01,recruiter
emp_000230,2023-10-01,referral
emp_000231,2025-10-31,company_site
emp_000232,2025-08-31,boomerang
emp_000233,2022-12-31,referral
emp_000234,2024-07-01,boomerang
emp_000235,2024-08-31,referral
emp_000236,2023-12-01,linkedin
emp_000237,2023-05-02,company_site
emp_000238,2023-10-01,linkedin
emp_000239,2024-09-30,recruiter
emp_000240,2024-10-31,referral
emp_000241,2024-08-31,referral
emp_000242,2025-04-01,university
emp_000243,2026-01-30,company_site
emp_000244,2025-01-30,referral
emp_000245,2023-09-01,recruiter
emp_000246,2024-04-01,recruiter
emp_000247,2025-07-01,referral
emp_000248,2024-11-30,university
emp_000249,2024-05-31,referral
emp_000250,2021-09-30,referral
emp_000251,2026-07-01,referral
emp_000252,2023-01-30,university
emp_000253,2026-05-02,referral
emp_000254,2023-08-01,company_site
emp_000255,2022-12-01,conference
emp_000256,2025-10-01,linkedin
emp_000257,2023-12-01,linkedin
emp_000258,2023-10-31,referral
emp_000259,2024-07-01,referral
emp_000260,2023-12-01,company_site
emp_000261,2023-04-01,company_site
emp_000262,2024-10-31,referral
emp_000263,2024-08-31,linkedin
emp_000264,2023-08-01,recruiter
emp_000265,2025-04-01,linkedin
emp_000266,2023-12-01,company_site
emp_000267,2025-05-01,recruiter
emp_000268,2023-10-01,referral
emp_000269,2019-10-01,university
emp_000270,2024-05-01,referral
emp_000271,2024-04-01,linkedin
emp_000272,2024-08-31,recruiter
emp_000273,2024-05-31,recruiter
emp_000274,2025-08-01,referral
emp_000275,2025-05-01,referral
emp_000276,2021-04-01,company_site
emp_000277,2024-10-31,referral
emp_000278,2024-05-01,recruiter
emp_000279,2023-07-02,recruiter
emp_000280,2023-10-01,referral
emp_000281,2023-05-02,recruiter
emp_000282,2025-12-31,company_site
emp_000283,2025-05-01,boomerang
emp_000284,2023-10-01,recruiter
emp_000285,2024-08-31,recruiter
emp_000286,2024-04-01,conference
emp_000287,2024-08-31,linkedin
emp_000288,2023-08-01,referral
emp_000289,2025-05-01,recruiter
emp_000290,2025-04-01,referral
emp_000291,2021-09-30,linkedin
emp_000292,2025-10-31,recruiter
emp_000293,2024-03-01,conference
emp_000294,2023-07-02,linkedin
emp_000295,2023-10-31,recruiter
emp_000296,2023-03-02,recruiter
emp_000297,2023-06-01,linkedin
emp_000298,2023-03-02,referral
emp_000299,2023-08-01,referral
emp_000300,2025-08-01,linkedin
emp_000301,2025-01-30,university
emp_000302,2025-06-01,recruiter
emp_000303,2023-03-02,recruiter
emp_000304,2025-08-31,referral
emp_000305,2024-12-31,linkedin
