employee_id,quarter_end,rating
emp_000000,2026-04-02,4.13
emp_000000,2026-01-02,4.34
emp_000000,2025-10-04,3.59
emp_000000,2025-07-06,3.79
emp_000000,2025-04-07,3.91
emp_000000,2025-01-07,3.87
emp_000000,2024-10-09,3.36
emp_000000,2024-07-11,4.23
emp_000001,2026-04-02,3.72
emp_000001,2026-01-02,3.46
emp_000001,2025-10-04,3.41
emp_000001,2025-07-06,3.29
emp_000001,2025-04-07,3.06
emp_000001,2025-01-07,3.86
emp_000002,2026-04-02,4.13
emp_000002,2026-01-02,4.36
emp_000002,2025-10-04,4.0
emp_000002,2025-07-06,3.8
emp_000002,2025-04-07,4.16
emp_000002,2025-01-07,4.29
emp_000002,2024-10-09,3.53
emp_000002,2024-07-11,3.82
emp_000003,2026-04-02,3.68
emp_000003,2026-01-02,3.98
emp_000003,2025-10-04,3.58
emp_000003,2025-07-06,3.24
emp_000003,2025-04-07,3.43
emp_000003,2025-01-07,3.51
emp_000003,2024-10-09,2.99
emp_000003,2024-07-11,2.68
emp_000004,2026-04-02,3.94
emp_000004,2026-01-02,3.92
emp_000004,2025-10-04,4.39
emp_000004,2025-07-06,3.83
emp_000004,2025-04-07,4.07
emp_000004,2025-01-07,4.06
emp_000004,2024-10-09,3.74
emp_000004,2024-07-11,4.11
emp_000005,2026-04-02,4.26
emp_000005,2026-01-02,3.84
emp_000005,2025-10-04,4.41
emp_000005,2025-07-06,4.33
emp_000005,2025-04-07,4.64
emp_000005,2025-01-07,4.06
emp_000005,2024-10-09,4.27
emp_000005,2024-07-11,3.63
emp_000006,2026-04-02,3.28
emp_000006,2026-01-02,3.31
emp_000006,2025-10-04,4.34
emp_000006,2025-07-06,3.96
emp_000006,2025-04-07,3.48
emp_000006,2025-01-07,4.02
emp_000006,2024-10-09,4.4
emp_000006,2024-07-11,4.07
emp_000007,2026-04-02,3.35
emp_000007,2026-01-02,2.89
emp_000007,2025-10-04,3.2
emp_000007,2025-07-06,3.95
emp_000007,2025-04-07,3.19
emp_000007,2025-01-07,3.67
emp_000007,2024-10-09,3.39
emp_000007,2024-07-11,3.4
emp_000008,2026-04-02,5.0
emp_000008,2026-01-02,4.1
emp_000008,2025-10-04,4.41
emp_000008,2025-07-06,4.1
emp_000008,2025-04-07,4.36
emp_000008,2025-01-07,4.12
emp_000008,2024-10-09,4.43
emp_000008,2024-07-11,4.0
emp_000009,2026-04-02,4.2
emp_000009,2026-01-02,3.98
emp_000009,2025-10-04,4.26
emp_000009,2025-07-06,3.57
emp_000009,2025-04-07,4.0
emp_000009,2025-01-07,3.58
emp_000009,2024-10-09,4.15
emp_000009,2024-07-11,3.55
emp_000010,2026-04-02,3.7
emp_000010,2026-01-02,3.41
emp_000010,2025-10-04,4.18
emp_000010,2025-07-06,3.3
emp_000010,2025-04-07,4.18
emp_000010,2025-01-07,4.48
