team_id,name,department_id,planned_size,manager_employee_id,actual_size
team_0000,Engineering Team 1,dept_00,5,emp_000004,5
team_0001,Engineering Team 2,dept_00,8,emp_000006,8
team_0002,Engineering Team 3,dept_00,6,emp_000014,6
team_0003,Engineering Team 4,dept_00,6,emp_000020,6
team_0004,Engineering Team 5,dept_00,10,emp_000028,10
team_0005,Engineering Team 6,dept_00,5,emp_000038,5
team_0006,Engineering Team 7,dept_00,3,emp_000042,3
team_0007,Engineering Team 8,dept_00,7,emp_000046,7
team_0008,Engineering Team 9,dept_00,2,emp_000050,2
team_0009,Engineering Team 10,dept_00,7,emp_000057,7
team_0010,Engineering Team 11,dept_00,8,emp_000064,8
team_0011,Engineering Team 12,dept_00,7,emp_000070,7
team_0012,Engineering Team 13,dept_00,7,emp_000075,7
team_0013,Engineering Team 14,dept_00,2,emp_000081,2
team_0014,Engineering Team 15,dept_00,8,emp_000088,8
team_0015,Engineering Team 16,dept_00,7,emp_000091,7
team_0016,Engineering Team 17,dept_00,4,emp_000100,4
team_0017,Engineering Team 18,dept_00,10,emp_000105,10
team_0018,Engineering Team 19,dept_00,4,emp_000112,4
team_0019,Engineering Team 20,dept_00,3,emp_000117,3
team_0020,Engineering Team 21,dept_00,3,emp_000119,3
team_0021,Engineering Team 22,dept_00,7,emp_000122,7
team_0022,Engineering Team 23,dept_00,7,emp_000130,7
team_0023,Engineering Team 24,dept_00,7,emp_000142,7
team_0024,Engineering Team 25,dept_00,6,emp_000146,6
team_0025,Engineering Team 26,dept_00,5,emp_000150,5
team_0026,Engineering Team 27,dept_00,8,emp_000155,8
team_0027,Engineering Team 28,dept_00,5,emp_000163,5
team_0028,Engineering Team 29,dept_00,4,emp_000167,4
team_0029,Engineering Team 30,dept_00,9,emp_000173,9
team_0030,Engineering Team 31,dept_00,7,emp_000183,7
team_0031,Engineering Team 32,dept_00,7,emp_000193,7
team_0032,Engineering Team 33,dept_00,8,emp_000195,8
team_0033,Engineering Team 34,dept_00,5,emp_000204,5
team_0034,Engineering Team 35,dept_00,5,emp_000208,5
team_0035,Engineering Team 36,dept_00,8,emp_000214,8
team_0036,Engineering Team 37,dept_00,5,emp_000220,5
team_0037,Engineering Team 38,dept_00,7,emp_000226,7
team_0038,Engineering Team 39,dept_00,6,emp_000233,6
team_0039,Engineering Team 40,dept_00,4,emp_000241,4
team_0040,Engineering Team 41,dept_00,8,emp_000248,8
team_0041,Engineering Team 42,dept_00,4,emp_000252,4
team_0042,Engineering Team 43,dept_00,7,emp_000257,7
team_0043,Engineering Team 44,dept_00,7,emp_000263,7
team_0044,Engineering Team 45,dept_00,9,emp_000271,9
team_0045,Engineering Team 46,dept_00,4,emp_000278,4
team_0046,Engineering Team 47,dept_00,5,emp_000285,5
team_0047,Engineering Team 48,dept_00,6,emp_000288,6
team_0048,Engineering Team 49,dept_00,7,emp_000297,7
team_0049,Engineering Team 50,dept_00,8,emp_000303,8
team_0050,Engineering Team 51,dept_00,7,emp_000313,7
team_0051,Engineering Team 52,dept_00,7,emp_000316,7
team_0052,Engineering Team 53,dept_00,9,emp_000321,9
team_0053,Engineering Team 54,dept_00,11,emp_000332,11
team_0054,Engineering Team 55,dept_00,4,emp_000343,4
team_0055,Engineering Team 56,dept_00,6,emp_000348,6
team_0056,Engineering Team 57,dept_00,8,emp_000352,8
team_0057,Engineering Team 58,dept_00,7,emp_000360,7
team_0058,Engineering Team 59,dept_00,9,emp_000366,9
team_0059,Engineering Team 60,dept_00,6,emp_000377,6
team_0060,Engineering Team 61,dept_00,4,emp_000383,4
team_0061,Engineering Team 62,dept_00,8,emp_000387,8
team_0062,Engineering Team 63,dept_00,2,emp_000393,2
team_0063,Engineering Team 64,dept_00,6,emp_000400,6
team_0064,Engineering Team 65,dept_00,11,emp_000401,11
team_0065,Engineering Team 66,dept_00,7,emp_000412,7
team_0066,Engineering Team 67,dept_00,7,emp_000419,7
team_0067,Engineering Team 68,dept_00,5,emp_000427,5
