employee_id,snapshot_date,mood,stress_level,sleep_quality,energy_level,burnout_exhaustion
emp_000002,2026-07-01,0.5965,0.2953,0.2355,0.5026,0.2242
emp_000003,2026-07-01,0.7736,0.4393,0.5109,0.5187,0.3057
emp_000004,2026-07-01,0.5221,0.178,0.4812,0.5727,0.3422
emp_000005,2026-07-01,0.3031,0.0569,0.5524,0.5503,0.4911
emp_000008,2026-07-01,0.4746,0.4954,0.2489,0.4139,0.5183
emp_000009,2026-07-01,0.725,0.0926,0.3223,0.6341,0.2825
emp_000010,2026-07-01,0.4102,0.2966,0.1052,0.6745,0.3235
emp_000011,2026-07-01,0.3403,0.1773,0.342,0.4055,0.4905
emp_000012,2026-07-01,0.5899,0.3235,0.3693,0.5066,0.4806
emp_000013,2026-07-01,0.6316,0.4469,0.3782,0.4393,0.4033
emp_000015,2026-07-01,0.6061,0.2757,0.32,0.4854,0.4359
emp_000017,2026-07-01,0.5419,0.1593,0.3541,0.5399,0.2811
emp_000018,2026-07-01,0.7083,0.6533,0.0,0.5189,0.5723
emp_000019,2026-07-01,0.4166,0.3043,0.3522,0.6584,0.5244
emp_000020,2026-07-01,0.7297,0.5264,0.28,0.6097,0.4292
emp_000021,2026-07-01,0.3817,0.5348,0.4832,0.6626,0.6319
emp_000023,2026-07-01,0.2931,0.2217,0.5094,0.6087,0.437
emp_000024,2026-07-01,0.6117,0.3316,0.2982,0.6818,0.5317
emp_000025,2026-07-01,0.557,0.1159,0.6258,0.5651,0.4874
emp_000028,2026-07-01,0.6863,0.2063,0.217,0.483,0.5142
emp_000029,2026-07-01,0.6388,0.2453,0.3876,0.6438,0.571
emp_000032,2026-07-01,0.7294,0.3634,0.3821,0.4409,0.3642
emp_000035,2026-07-01,0.418,0.518,0.1252,0.5022,0.4393
emp_000036,2026-07-01,0.4566,0.3899,0.1433,0.5228,0.4675
emp_000038,2026-07-01,0.5125,0.2417,0.4347,0.5341,0.6797
emp_000039,2026-07-01,0.5375,0.2801,0.4792,0.5598,0.369
emp_000040,2026-07-01,0.555,0.1623,0.261,0.5383,0.545
emp_000041,2026-07-01,0.595,0.2476,0.2216,0.6147,0.5329
emp_000042,2026-07-01,0.5351,0.4352,0.285,0.6444,0.5346
emp_000043,2026-07-01,0.3975,0.8169,0.2523,0.226,0.7011
emp_000045,2026-07-01,0.6747,0.2208,0.3458,0.5037,0.5557
emp_000046,2026-07-01,0.6044,0.4874,0.3634,0.492,0.3658
emp_000047,2026-07-01,0.6683,0.2723,0.4954,0.7763,0.5721
emp_000049,2026-07-01,0.5977,0.5186,0.5459,0.621,0.5238
emp_000050,2026-07-01,0.5218,0.2301,0.462,0.4644,0.4095
emp_000051,2026-07-01,0.6487,0.5053,0.1207,0.6664,0.7562
emp_000052,2026-07-01,0.3142,0.4178,0.3236,0.6473,0.7505
emp_000053,2026-07-01,0.2863,0.3472,0.3292,0.4689,0.5232
emp_000055,2026-07-01,0.4452,0.3619,0.4196,0.4897,0.5918
emp_000056,2026-07-01,0.6635,0.2633,0.1465,0.5566,0.6545
emp_000058,2026-07-01,0.4111,0.5131,0.0,0.4027,0.365
emp_000059,2026-07-01,0.7354,0.3108,0.2067,0.3729,0.3442
emp_000060,2026-07-01,0.6188,0.4561,0.5396,0.5882,0.4488
emp_000062,2026-07-01,0.4526,0.4342,0.3632,0.5808,0.4174
emp_000063,2026-07-01,0.5817,0.4975,0.4278,0.4962,0.5039
emp_000065,2026-07-01,0.6885,0.1617,0.4116,0.6559,0.4965
emp_000066,2026-07-01,0.4604,0.3946,0.3296,0.6201,0.4186
emp_000068,2026-07-01,0.5084,0.3842,0.3417,0.5287,0.4571
emp_000070,2026-07-01,0.343,0.3483,0.4794,0.6174,0.4415
emp_000071,2026-07-01,0.327,0.2081,0.3525,0.6029,0.5722
emp_000072,2026-07-01,0.6521,0.4077,0.3391,0.7051,0.3421
emp_000073,2026-07-01,0.7372,0.3066,0.4984,0.7757,0.4264
emp_000074,2026-07-01,0.7358,0.5508,0.5783,0.5846,0.523
emp_000075,2026-07-01,0.6958,0.3553,0.3096,0.568,0.4929
emp_000076,2026-07-01,0.3374,0.4789,0.3313,0.4446,0.562
emp_000077,2026-07-01,0.7651,0.3177,0.3828,0.7238,0.385
emp_000079,2026-07-01,0.5025,0.3631,0.4074,0.6452,0.6298
emp_000080,2026-07-01,0.5738,0.3926,0.3949,0.4314,0.5024
emp_000082,2026-07-01,0.3257,0.4977,0.0,0.4654,0.5746
emp_000083,2026-07-01,0.4446,0.5876,0.1732,0.4601,0.7158
emp_000084,2026-07-01,0.346,0.3467,0.2303,0.6463,0.6387
emp_000087,2026-07-01,0.3466,0.4661,0.5915,0.4587,0.3876
emp_000088,2026-07-01,0.3852,0.3067,0.4722,0.4634,0.4047
emp_000089,2026-07-01,0.5304,0.4025,0.416,0.5823,0.418
emp_000090,2026-07-01,0.4772,0.3864,0.4718,0.5603,0.5218
emp_000091,2026-07-01,0.4285,0.1931,0.1272,0.557,0.2998
emp_000092,2026-07-01,0.5204,0.3171,0.5118,0.6998,0.303
emp_000093,2026-07-01,0.4007,0.5879,0.2494,0.2744,0.6182
emp_000094,2026-07-01,0.4469,0.4301,0.5479,0.3907,0.5639
emp_000095,2026-07-01,0.5456,0.3359,0.4866,0.6531,0.5039
emp_000096,2026-07-01,0.5247,0.3239,0.5046,0.4956,0.3942
emp_000098,2026-07-01,0.4227,0.4249,0.1244,0.3535,0.5632
emp_000099,2026-07-01,0.6999,0.2204,0.2813,0.5652,0.4723
emp_000100,2026-07-01,0.4121,0.6875,0.3547,0.5923,0.4479
emp_000101,2026-07-01,0.294,0.3274,0.5118,0.5828,0.3653
emp_000102,2026-07-01,0.5993,0.4935,0.2717,0.4326,0.2855
emp_000103,2026-07-01,0.2458,0.638,0.0185,0.4572,0.5462
emp_000104,2026-07-01,0.5807,0.1927,0.3432,0.2888,0.3223
emp_000107,2026-07-01,0.4514,0.2512,0.35,0.4342,0.4335
emp_000108,2026-07-01,0.7062,0.1857,0.4175,0.6039,0.3998
emp_000111,2026-07-01,0.5303,0.7669,0.3508,0.3483,0.5623
emp_000112,2026-07-01,0.7264,0.6363,0.3537,0.5452,0.3343
emp_000113,2026-07-01,0.6511,0.3794,0.3116,0.5697,0.6972
emp_000114,2026-07-01,0.839,0.152,0.5455,0.8079,0.5232
emp_000115,2026-07-01,0.3647,0.37,0.4014,0.491,0.6319
emp_000116,2026-07-01,0.4741,0.5308,0.3919,0.5718,0.6206
emp_000117,2026-07-01,0.4486,0.3125,0.5653,0.6576,0.5922
emp_000118,2026-07-01,0.6737,0.7406,0.37,0.4284,0.4795
emp_000119,2026-07-01,0.5346,0.152,0.3997,0.5725,0.3946
emp_000120,2026-07-01,0.34,0.5569,0.1975,0.747,0.6169
emp_000121,2026-07-01,0.5757,0.5104,0.5066,0.2832,0.5799
emp_000125,2026-07-01,0.4539,0.407,0.5759,0.7313,0.3721
emp_000126,2026-07-01,0.517,0.306,0.567,0.6762,0.4106
emp_000127,2026-07-01,0.5583,0.1987,0.4739,0.5204,0.4821
emp_000128,2026-07-01,0.4513,0.716,0.2138,0.3417,0.4564
emp_000129,2026-07-01,0.4763,0.3178,0.4082,0.4082,0.399
emp_000130,2026-07-01,0.5594,0.1329,0.3396,0.6027,0.5789
emp_000131,2026-07-01,0.753,0.349,0.2051,0.5902,0.4351
emp_000134,2026-07-01,0.567,0.3177,0.4307,0.499,0.4131
emp_000135,2026-07-01,0.2984,0.4216,0.2353,0.3377,0.4376
emp_000136,2026-07-01,0.5639,0.5534,0.2543,0.5403,0.5674
emp_000138,2026-07-01,0.5813,0.4418,0.1696,0.4147,0.3987
emp_000140,2026-07-01,0.3596,0.5259,0.2535,0.4122,0.5421
emp_000141,2026-07-01,0.6501,0.3559,0.2351,0.6497,0.3253
emp_000142,2026-07-01,0.564,0.4317,0.3221,0.4256,0.7419
emp_000143,2026-07-01,0.4608,0.5215,0.459,0.6012,0.4461
emp_000145,2026-07-01,0.4024,0.3472,0.3789,0.3225,0.4828
emp_000146,2026-07-01,0.3741,0.5293,0.398,0.5737,0.4162
emp_000147,2026-07-01,0.6101,0.4621,0.4287,0.4752,0.4225
emp_000148,2026-07-01,0.5631,0.4405,0.3375,0.1755,0.4822
emp_000149,2026-07-01,0.4264,0.4022,0.3768,0.4176,0.2851
emp_000151,2026-07-01,0.3537,0.3908,0.0396,0.4799,0.5565
emp_000152,2026-07-01,0.6198,0.2014,0.3743,0.4204,0.4254
emp_000153,2026-07-01,0.4765,0.4438,0.4507,0.479,0.4685
emp_000154,2026-07-01,0.5065,0.4374,0.2689,0.396,0.58
emp_000155,2026-07-01,0.6752,0.2382,0.4742,0.5743,0.4792
emp_000159,2026-07-01,0.7857,0.4442,0.4216,0.6511,0.31
emp_000160,2026-07-01,0.3158,0.629,0.2866,0.4956,0.6553
emp_000161,2026-07-01,0.4852,0.2761,0.4086,0.6125,0.5722
emp_000163,2026-07-01,0.5888,0.3385,0.1939,0.4692,0.6653
emp_000164,2026-07-01,0.5614,0.0438,0.3701,0.3275,0.4885
emp_000165,2026-07-01,0.6192,0.1792,0.2544,0.7178,0.4275
emp_000166,2026-07-01,0.4515,0.4341,0.3225,0.6362,0.4771
emp_000168,2026-07-01,0.7738,0.4896,0.3095,0.4806,0.4125
emp_000169,2026-07-01,0.5743,0.292,0.4266,0.467,0.5993
emp_000170,2026-07-01,0.4429,0.5549,0.158,0.3282,0.5115
emp_000171,2026-07-01,0.3817,0.5091,0.2503,0.4024,0.4774
emp_000172,2026-07-01,0.4926,0.5319,0.3017,0.5284,0.5278
emp_000173,2026-07-01,0.5222,0.5369,0.138,0.584,0.5888
emp_000174,2026-07-01,0.5589,0.0706,0.3115,0.5769,0.3778
emp_000175,2026-07-01,0.8016,0.6602,0.3077,0.6007,0.5947
emp_000176,2026-07-01,0.6026,0.0149,0.4646,0.7583,0.2628
emp_000177,2026-07-01,0.6052,0.3145,0.3668,0.5205,0.5304
emp_000178,2026-07-01,0.6531,0.2002,0.351,0.4229,0.5839
emp_000180,2026-07-01,0.552,0.4967,0.2396,0.4152,0.2816
emp_000182,2026-07-01,0.5644,0.1926,0.332,0.459,0.5118
emp_000183,2026-07-01,0.6023,0.584,0.3119,0.5597,0.5748
emp_000186,2026-07-01,0.7114,0.2585,0.2453,0.6214,0.4001
emp_000188,2026-07-01,0.4484,0.4144,0.2726,0.523,0.7188
emp_000190,2026-07-01,0.583,0.249,0.612,0.6147,0.3161
emp_000191,2026-07-01,0.3546,0.5278,0.4218,0.47,0.5798
emp_000192,2026-07-01,0.6098,0.2591,0.275,0.4208,0.505
emp_000193,2026-07-01,0.5309,0.2333,0.3243,0.7529,0.4838
emp_000194,2026-07-01,0.5325,0.0,0.4436,0.5669,0.5264
emp_000195,2026-07-01,0.4558,0.4439,0.3471,0.6589,0.4467
emp_000197,2026-07-01,0.5602,0.2358,0.5817,0.5095,0.4528
emp_000198,2026-07-01,0.5053,0.3152,0.5551,0.6567,0.5511
emp_000199,2026-07-01,0.4146,0.1986,0.2688,0.4684,0.3935
emp_000200,2026-07-01,0.3923,0.689,0.2471,0.4918,0.6701
emp_000201,2026-07-01,0.5688,0.5288,0.4328,0.4756,0.4732
emp_000202,2026-07-01,0.3877,0.4312,0.2494,0.3653,0.588
emp_000203,2026-07-01,0.3573,0.3846,0.4718,0.5452,0.6425
emp_000204,2026-07-01,0.6298,0.2013,0.3567,0.6808,0.3152
emp_000205,2026-07-01,0.733,0.5203,0.2674,0.4959,0.4319
emp_000206,2026-07-01,0.5143,0.4071,0.262,0.5559,0.3542
emp_000210,2026-07-01,0.5955,0.1285,0.1831,0.3531,0.4069
emp_000212,2026-07-01,0.3993,0.4967,0.266,0.4331,0.417
emp_000213,2026-07-01,0.5336,0.4744,0.1288,0.3279,0.6084
emp_000214,2026-07-01,0.4646,0.5859,0.2313,0.3497,0.4274
emp_000219,2026-07-01,0.4547,0.3698,0.2763,0.4743,0.3015
emp_000220,2026-07-01,0.7172,0.3502,0.2838,0.6008,0.3163
emp_000221,2026-07-01,0.588,0.4521,0.2799,0.4426,0.4676
emp_000224,2026-07-01,0.6773,0.1943,0.5354,0.514,0.533
emp_000225,2026-07-01,0.552,0.2742,0.2832,0.4138,0.3892
emp_000227,2026-07-01,0.5294,0.2225,0.4865,0.6728,0.3688
emp_000228,2026-07-01,0.5663,0.2979,0.3028,0.461,0.466
emp_000230,2026-07-01,0.5801,0.3569,0.4836,0.5029,0.4251
emp_000231,2026-07-01,0.3954,0.5729,0.2264,0.38,0.5719
emp_000233,2026-07-01,0.6429,0.1547,0.27,0.5125,0.4613
emp_000235,2026-07-01,0.4978,0.2858,0.2989,0.6009,0.4256
emp_000236,2026-07-01,0.5546,0.2751,0.3824,0.5541,0.4007
emp_000237,2026-07-01,0.4775,0.3531,0.4896,0.5548,0.5345
emp_000238,2026-07-01,0.6556,0.5935,0.3194,0.5147,0.4198
