employee_id,effective_date,base_salary,bonus_target_pct,equity_value
emp_000000,2026-07-01,237986.76,0.15,63203.85
emp_000000,2025-07-01,224515.81,0.15,59626.27
emp_000000,2024-07-01,211807.37,0.15,56251.2
emp_000001,2026-07-01,119226.85,0.1,31861.94
emp_000001,2025-07-01,112478.16,0.1,30058.43
emp_000001,2024-07-01,106111.47,0.1,28357.01
emp_000002,2026-07-01,30000.0,0.07,14169.12
emp_000002,2025-07-01,28301.89,0.07,13367.09
emp_000003,2026-07-01,74343.22,0.05,3950.7
emp_000003,2025-07-01,70135.11,0.05,3727.08
emp_000003,2024-07-01,66165.2,0.05,3516.11
emp_000004,2026-07-01,234374.6,0.2,89946.01
emp_000004,2025-07-01,221108.11,0.2,84854.73
emp_000004,2024-07-01,208592.56,0.2,80051.63
emp_000005,2026-07-01,111225.77,0.1,30097.54
emp_000005,2025-07-01,104929.97,0.1,28393.91
emp_000005,2024-07-01,98990.54,0.1,26786.7
emp_000006,2026-07-01,94977.5,0.07,13006.08
emp_000006,2025-07-01,89601.42,0.07,12269.89
emp_000006,2024-07-01,84529.64,0.07,11575.36
emp_000007,2026-07-01,97074.22,0.07,12355.74
emp_000008,2026-07-01,154414.73,0.12,67046.69
emp_000009,2026-07-01,128706.97,0.07,10246.29
emp_000009,2025-07-01,121421.67,0.07,9666.31
emp_000009,2024-07-01,114548.75,0.07,9119.16
emp_000010,2026-07-01,198654.96,0.15,45280.61
emp_000011,2026-07-01,63669.13,0.15,44839.36
emp_000011,2025-07-01,60065.22,0.15,42301.28
emp_000011,2024-07-01,56665.3,0.15,39906.87
emp_000012,2026-07-01,223604.66,0.15,103999.23
emp_000012,2025-07-01,210947.79,0.15,98112.48
emp_000013,2026-07-01,175541.81,0.1,23050.97
emp_000013,2025-07-01,165605.48,0.1,21746.2
emp_000013,2024-07-01,156231.59,0.1,20515.28
emp_000014,2026-07-01,216316.49,0.12,55801.55
emp_000015,2026-07-01,134983.65,0.12,55378.48
emp_000015,2025-07-01,127343.07,0.12,52243.85
emp_000016,2026-07-01,224438.96,0.12,43467.3
emp_000016,2025-07-01,211734.87,0.12,41006.89
emp_000016,2024-07-01,199749.88,0.12,38685.74
emp_000017,2026-07-01,64947.91,0.05,5801.8
emp_000018,2026-07-01,132907.11,0.1,20118.07
emp_000018,2025-07-01,125384.07,0.1,18979.31
emp_000019,2026-07-01,60969.94,0.05,4781.77
emp_000020,2026-07-01,48143.47,0.1,23523.6
emp_000021,2026-07-01,96700.1,0.07,12859.45
emp_000021,2025-07-01,91226.51,0.07,12131.56
emp_000021,2024-07-01,86062.74,0.07,11444.86
emp_000022,2026-07-01,84776.74,0.07,6914.15
emp_000023,2026-07-01,71387.23,0.05,5890.91
emp_000024,2026-07-01,171809.99,0.12,47553.11
emp_000025,2026-07-01,99212.42,0.07,14927.91
emp_000025,2025-07-01,93596.62,0.07,14082.93
emp_000026,2026-07-01,209407.2,0.2,81393.03
emp_000026,2025-07-01,197553.96,0.2,76785.88
emp_000027,2026-07-01,188656.44,0.12,54462.72
emp_000027,2025-07-01,177977.77,0.12,51379.92
emp_000028,2026-07-01,110203.43,0.07,16593.09
emp_000029,2026-07-01,210558.05,0.12,51949.28
emp_000029,2025-07-01,198639.67,0.12,49008.75
emp_000029,2024-07-01,187395.91,0.12,46234.67
emp_000030,2026-07-01,73270.28,0.05,6238.85
emp_000031,2026-07-01,266729.02,0.25,181405.62
emp_000032,2026-07-01,157118.68,0.1,27077.09
emp_000032,2025-07-01,148225.17,0.1,25544.42
emp_000032,2024-07-01,139835.07,0.1,24098.51
emp_000033,2026-07-01,158104.94,0.15,45629.63
emp_000034,2026-07-01,66366.29,0.05,5847.85
emp_000035,2026-07-01,161345.92,0.1,21572.34
emp_000035,2025-07-01,152213.13,0.1,20351.26
emp_000035,2024-07-01,143597.29,0.1,19199.31
emp_000036,2026-07-01,128514.24,0.1,20079.76
emp_000036,2025-07-01,121239.85,0.1,18943.17
emp_000037,2026-07-01,268726.37,0.2,78505.63
emp_000037,2025-07-01,253515.44,0.2,74061.92
emp_000037,2024-07-01,239165.51,0.2,69869.73
emp_000038,2026-07-01,215979.56,0.12,56096.81
emp_000038,2025-07-01,203754.3,0.12,52921.52
emp_000038,2024-07-01,192221.04,0.12,49925.96
emp_000039,2026-07-01,153171.63,0.1,23895.91
emp_000040,2026-07-01,33404.49,0.07,13704.66
emp_000041,2026-07-01,116617.76,0.07,15131.36
emp_000041,2025-07-01,110016.75,0.07,14274.87
emp_000042,2026-07-01,167874.76,0.1,20120.81
emp_000043,2026-07-01,180727.08,0.1,21330.26
emp_000044,2026-07-01,66728.89,0.05,3563.76
emp_000044,2025-07-01,62951.78,0.05,3362.04
emp_000044,2024-07-01,59388.47,0.05,3171.73
emp_000045,2026-07-01,170605.27,0.15,63273.36
emp_000045,2025-07-01,160948.37,0.15,59691.85
emp_000046,2026-07-01,269682.74,0.2,95484.05
emp_000046,2025-07-01,254417.68,0.2,90079.29
emp_000047,2026-07-01,140593.81,0.07,13151.53
emp_000047,2025-07-01,132635.67,0.07,12407.1
emp_000047,2024-07-01,125127.99,0.07,11704.81
emp_000048,2026-07-01,148268.95,0.1,18298.96
emp_000049,2026-07-01,67384.27,0.05,4998.83
emp_000049,2025-07-01,63570.07,0.05,4715.88
emp_000049,2024-07-01,59971.76,0.05,4448.94
emp_000050,2026-07-01,168007.46,0.12,60601.73
emp_000051,2026-07-01,117088.45,0.07,11393.38
emp_000051,2025-07-01,110460.8,0.07,10748.47
emp_000051,2024-07-01,104208.3,0.07,10140.07
emp_000052,2026-07-01,207298.7,0.12,66832.76
emp_000053,2026-07-01,259213.26,0.15,160860.28
emp_000053,2025-07-01,244540.81,0.15,151754.98
emp_000053,2024-07-01,230698.88,0.15,143165.08
emp_000054,2026-07-01,202635.97,0.15,36476.43
emp_000054,2025-07-01,191166.01,0.15,34411.73
emp_000054,2024-07-01,180345.29,0.15,32463.89
emp_000055,2026-07-01,83407.1,0.05,3977.91
emp_000055,2025-07-01,78685.94,0.05,3752.75
emp_000056,2026-07-01,76754.14,0.2,74200.39
emp_000057,2026-07-01,105942.78,0.07,15854.88
emp_000058,2026-07-01,61831.35,0.05,6042.36
emp_000059,2026-07-01,124332.53,0.1,24322.36
emp_000060,2026-07-01,131026.18,0.1,25182.8
emp_000060,2025-07-01,123609.6,0.1,23757.36
emp_000060,2024-07-01,116612.83,0.1,22412.6
emp_000061,2026-07-01,209206.49,0.15,37651.11
emp_000061,2025-07-01,197364.61,0.15,35519.92
emp_000061,2024-07-01,186193.03,0.15,33509.35
emp_000062,2026-07-01,188639.43,0.15,53010.24
emp_000063,2026-07-01,124076.94,0.07,11088.24
emp_000063,2025-07-01,117053.72,0.07,10460.6
emp_000064,2026-07-01,235566.22,0.25,170637.24
emp_000064,2025-07-01,222232.28,0.25,160978.53
emp_000065,2026-07-01,120794.73,0.07,13461.1
emp_000065,2025-07-01,113957.29,0.07,12699.15
emp_000065,2024-07-01,107506.88,0.07,11980.33
emp_000066,2026-07-01,126618.41,0.1,24060.03
emp_000066,2025-07-01,119451.33,0.1,22698.14
emp_000067,2026-07-01,115585.91,0.07,11436.08
emp_000067,2025-07-01,109043.31,0.07,10788.75
emp_000068,2026-07-01,224000.41,0.2,90190.35
emp_000068,2025-07-01,211321.14,0.2,85085.24
emp_000068,2024-07-01,199359.57,0.2,80269.09
emp_000069,2026-07-01,112900.94,0.07,13908.85
emp_000069,2025-07-01,106510.32,0.07,13121.56
emp_000070,2026-07-01,80470.58,0.05,6646.49
emp_000070,2025-07-01,75915.64,0.05,6270.27
emp_000071,2026-07-01,182757.38,0.1,27927.43
emp_000072,2026-07-01,99821.58,0.35,464265.14
emp_000072,2025-07-01,94171.3,0.35,437985.98
emp_000072,2024-07-01,88840.85,0.35,413194.32
emp_000073,2026-07-01,186586.77,0.2,86402.63
emp_000073,2025-07-01,176025.25,0.2,81511.92
emp_000073,2024-07-01,166061.56,0.2,76898.03
emp_000074,2026-07-01,176561.1,0.15,38629.82
emp_000075,2026-07-01,249302.76,0.2,101771.75
emp_000075,2025-07-01,235191.28,0.2,96011.08
emp_000076,2026-07-01,184911.19,0.2,93082.33
emp_000076,2025-07-01,174444.52,0.2,87813.52
emp_000077,2026-07-01,129170.38,0.1,17886.86
emp_000078,2026-07-01,103191.37,0.07,11212.63
emp_000079,2026-07-01,180493.0,0.15,44253.93
emp_000080,2026-07-01,233372.53,0.12,49384.96
emp_000080,2025-07-01,220162.76,0.12,46589.58
emp_000081,2026-07-01,136360.88,0.1,32408.68
emp_000082,2026-07-01,84506.07,0.05,5479.84
emp_000082,2025-07-01,79722.71,0.05,5169.66
emp_000082,2024-07-01,75210.1,0.05,4877.04
emp_000083,2026-07-01,184828.66,0.15,57358.57
emp_000083,2025-07-01,174366.66,0.15,54111.86
emp_000084,2026-07-01,118130.77,0.07,12632.22
emp_000084,2025-07-01,111444.12,0.07,11917.19
emp_000085,2026-07-01,231663.28,0.2,91464.98
emp_000086,2026-07-01,79788.14,0.07,9752.17
emp_000087,2026-07-01,73639.8,0.05,5011.93
emp_000087,2025-07-01,69471.51,0.05,4728.24
emp_000088,2026-07-01,146464.71,0.15,45117.49
emp_000088,2025-07-01,138174.25,0.15,42563.67
emp_000088,2024-07-01,130353.07,0.15,40154.41
emp_000089,2026-07-01,97393.65,0.07,8718.93
emp_000089,2025-07-01,91880.8,0.07,8225.41
emp_000089,2024-07-01,86680.0,0.07,7759.82
emp_000090,2026-07-01,122243.4,0.07,10705.13
emp_000091,2026-07-01,135674.98,0.12,51443.89
emp_000091,2025-07-01,127995.26,0.12,48531.97
emp_000092,2026-07-01,54229.31,0.2,97442.63
emp_000093,2026-07-01,31355.31,0.07,13107.24
emp_000093,2025-07-01,29580.48,0.07,12365.32
emp_000093,2024-07-01,27906.11,0.07,11665.4
emp_000094,2026-07-01,108169.07,0.07,10604.84
emp_000094,2025-07-01,102046.29,0.07,10004.57
emp_000095,2026-07-01,171586.03,0.15,49219.83
emp_000096,2026-07-01,361916.83,0.25,173445.16
emp_000096,2025-07-01,341430.97,0.25,163627.51
emp_000096,2024-07-01,322104.69,0.25,154365.57
emp_000097,2026-07-01,153425.64,0.1,10651.9
emp_000098,2026-07-01,127659.36,0.07,10836.72
emp_000099,2026-07-01,68895.22,0.05,6078.99
emp_000100,2026-07-01,34096.71,0.07,7963.67
emp_000101,2026-07-01,67608.14,0.05,5112.69
emp_000101,2025-07-01,63781.26,0.05,4823.29
emp_000102,2026-07-01,185881.74,0.12,72437.87
emp_000103,2026-07-01,72549.87,0.05,4239.39
emp_000103,2025-07-01,68443.27,0.05,3999.42
emp_000103,2024-07-01,64569.13,0.05,3773.04
emp_000104,2026-07-01,150134.72,0.1,25010.75
emp_000105,2026-07-01,227458.23,0.15,81311.64
