employee_id,hire_date,hire_source
emp_000000,2020-12-30,recruiter
emp_000001,2019-05-02,linkedin
emp_000002,2024-01-31,linkedin
emp_000003,2021-07-01,recruiter
emp_000004,2023-04-01,recruiter
emp_000005,2022-10-31,linkedin
emp_000006,2022-08-01,university
emp_000007,2025-10-01,linkedin
emp_000008,2024-11-30,referral
emp_000009,2022-10-01,linkedin
emp_000010,2025-05-01,recruiter
emp_000011,2022-04-01,linkedin
emp_000012,2023-09-01,university
emp_000013,2016-03-01,company_site
emp_000014,2025-07-01,linkedin
emp_000015,2024-01-31,university
emp_000016,2018-10-31,linkedin
emp_000017,2025-12-31,linkedin
emp_000018,2023-10-01,referral
emp_000019,2025-08-31,linkedin
emp_000020,2024-10-31,linkedin
emp_000021,2023-01-30,referral
emp_000022,2025-05-01,company_site
emp_000023,2024-08-31,referral
emp_000024,2025-07-01,referral
emp_000025,2024-04-01,company_site
emp_000026,2024-05-01,referral
emp_000027,2024-03-01,company_site
emp_000028,2025-08-31,recruiter
emp_000029,2023-05-02,linkedin
emp_000030,2026-03-02,referral
emp_000031,2024-07-31,linkedin
emp_000032,2022-05-01,referral
emp_000033,2024-07-31,company_site
emp_000034,2026-07-01,recruiter
emp_000035,2023-07-02,company_site
emp_000036,2024-04-01,linkedin
emp_000037,2022-12-31,boomerang
emp_000038,2021-07-01,referral
emp_000039,2025-04-01,university
emp_000040,2025-10-31,recruiter
emp_000041,2023-10-31,linkedin
emp_000042,2024-12-31,referral
emp_000043,2024-11-30,referral
emp_000044,2022-06-01,boomerang
emp_000045,2023-12-01,referral
emp_000046,2024-05-31,university
emp_000047,2020-03-31,company_site
emp_000048,2025-08-31,linkedin
emp_000049,2020-03-31,company_site
emp_000050,2024-07-31,referral
emp_000051,2019-10-31,linkedin
emp_000052,2025-04-01,boomerang
emp_000053,2023-06-01,referral
emp_000054,2022-01-30,boomerang
emp_000055,2023-10-01,conference
emp_000056,2024-09-30,referral
emp_000057,2026-07-01,company_site
emp_000058,2024-07-31,referral
emp_000059,2025-10-01,company_site
emp_000060,2022-12-01,conference
emp_000061,2021-04-01,university
emp_000062,2024-09-30,boomerang
emp_000063,2023-10-31,referral
emp_000064,2024-05-01,company_site
emp_000065,2020-01-31,referral
emp_000066,2024-03-01,university
emp_000067,2023-10-31,referral
emp_000068,2022-03-02,referral
emp_000069,2023-12-31,referral
emp_000070,2024-05-31,referral
emp_000071,2025-08-31,referral
emp_000072,2020-05-01,referral
emp_000073,2023-07-02,university
emp_000074,2024-12-31,recruiter
emp_000075,2024-03-01,referral
emp_000076,2023-12-01,recruiter
emp_000077,2025-10-31,linkedin
emp_000078,2025-06-01,recruiter
emp_000079,2025-01-30,linkedin
emp_000080,2024-01-31,company_site
emp_000081,2024-10-31,linkedin
emp_000082,2019-10-31,referral
emp_000083,2024-05-31,company_site
emp_000084,2023-09-01,recruiter
emp_000085,2024-11-30,recruiter
emp_000086,2025-05-01,linkedin
emp_000087,2024-04-01,company_site
emp_000088,2018-12-31,recruiter
emp_000089,2019-08-31,referral
emp_000090,2026-07-01,referral
emp_000091,2023-10-01,linkedin
emp_000092,2024-08-31,referral
emp_000093,2022-06-01,linkedin
emp_000094,2023-09-01,referral
emp_000095,2024-11-30,company_site
emp_000096,2023-05-02,recruiter
emp_000097,2025-08-01,recruiter
emp_000098,2025-05-01,recruiter
emp_000099,2024-10-31,linkedin
emp_000100,2025-05-01,boomerang
emp_000101,2023-10-31,recruiter
emp_000102,2025-01-30,company_site
emp_000103,2022-07-01,referral
emp_000104,2025-01-30,recruiter
emp_000105,2023-12-01,company_site
emp_000106,2025-05-01,recruiter
emp_000107,2023-06-01,recruiter
emp_000108,2023-10-01,university
emp_000109,2023-12-31,boomerang
emp_000110,2023-01-30,company_site
emp_000111,2024-04-01,conference
emp_000112,2026-04-01,university
emp_000113,2021-08-01,referral
emp_000114,2024-09-30,company_site
emp_000115,2023-08-01,referral
emp_000116,2025-07-01,linkedin
emp_000117,2022-07-01,linkedin
emp_000118,2021-08-01,linkedin
emp_000119,2023-03-02,referral
emp_000120,2021-08-01,referral
emp_000121,2024-03-01,referral
emp_000122,2025-06-01,recruiter
emp_000123,2024-03-01,university
emp_000124,2025-07-01,conference
emp_000125,2024-05-31,linkedin
emp_000126,2024-07-31,referral
emp_000127,2022-10-01,university
emp_000128,2025-01-30,referral
emp_000129,2022-10-31,conference
emp_000130,2016-03-31,recruiter
emp_000131,2023-04-01,company_site
emp_000132,2024-10-31,referral
emp_000133,2025-04-01,referral
emp_000134,2025-05-01,company_site
emp_000135,2023-08-01,linkedin
emp_000136,2023-08-01,university
emp_000137,2025-04-01,recruiter
emp_000138,2023-12-31,linkedin
emp_000139,2025-03-01,referral
emp_000140,2019-08-31,linkedin
emp_000141,2022-04-01,referral
emp_000142,2023-10-31,recruiter
emp_000143,2023-07-02,company_site
emp_000144,2025-06-01,recruiter
emp_000145,2021-09-30,linkedin
emp_000146,2019-10-31,referral
emp_000147,2025-07-01,recruiter
emp_000148,2026-01-30,recruiter
emp_000149,2024-10-31,recruiter
emp_000150,2022-12-31,company_site
emp_000151,2017-11-30,university
emp_000152,2025-12-31,referral
emp_000153,2025-04-01,linkedin
emp_000154,2024-08-31,recruiter
emp_000155,2021-09-30,referral
emp_000156,2018-05-01,recruiter
emp_000157,2026-03-02,linkedin
emp_000158,2025-10-01,referral
emp_000159,2024-07-01,referral
emp_000160,2021-08-31,university
emp_000161,2016-03-01,recruiter
emp_000162,2025-03-01,linkedin
emp_000163,2023-12-31,referral
emp_000164,2024-11-30,referral
emp_000165,2026-04-01,referral
emp_000166,2024-04-01,recruiter
emp_000167,2019-10-01,referral
emp_000168,2022-04-01,referral
emp_000169,2022-12-01,referral
emp_000170,2022-08-01,company_site
emp_000171,2025-06-01,recruiter
emp_000172,2024-11-30,recruiter
emp_000173,2022-08-01,company_site
emp_000174,2023-03-02,conference
emp_000175,2026-01-30,linkedin
emp_000176,2026-04-01,university
emp_000177,2021-03-01,recruiter
emp_000178,2023-12-01,referral
emp_000179,2022-12-01,recruiter
emp_000180,2021-01-30,company_site
emp_000181,2023-10-31,recruiter
emp_000182,2018-06-01,referral
emp_000183,2020-09-30,linkedin
emp_000184,2025-05-01,university
emp_000185,2023-10-01,referral
emp_000186,2024-07-01,referral
emp_000187,2023-10-31,referral
emp_000188,2022-03-02,linkedin
emp_000189,2024-07-31,recruiter
emp_000190,2022-12-31,recruiter
emp_000191,2021-11-30,university
emp_000192,2023-09-01,linkedin
emp_000193,2024-09-30,linkedin
emp_000194,2024-04-01,referral
