employee_id,quarter_end,rating
emp_000000,2026-04-02,3.46
emp_000000,2026-01-02,4.01
emp_000000,2025-10-04,3.6
emp_000000,2025-07-06,3.11
emp_000000,2025-04-07,2.91
emp_000000,2025-01-07,3.34
emp_000000,2024-10-09,3.7
emp_000000,2024-07-11,3.34
emp_000001,2026-04-02,3.93
emp_000001,2026-01-02,3.67
emp_000001,2025-10-04,3.99
emp_000001,2025-07-06,3.18
emp_000001,2025-04-07,4.3
emp_000001,2025-01-07,3.35
emp_000001,2024-10-09,4.01
emp_000001,2024-07-11,3.64
emp_000002,2026-04-02,3.96
emp_000002,2026-01-02,3.91
emp_000002,2025-10-04,4.09
emp_000002,2025-07-06,4.16
emp_000002,2025-04-07,4.37
emp_000002,2025-01-07,4.49
emp_000002,2024-10-09,4.11
emp_000002,2024-07-11,4.6
emp_000003,2026-04-02,4.08
emp_000003,2026-01-02,4.43
emp_000003,2025-10-04,4.2
emp_000003,2025-07-06,3.86
emp_000003,2025-04-07,4.11
emp_000003,2025-01-07,4.22
emp_000003,2024-10-09,4.04
emp_000003,2024-07-11,4.19
emp_000004,2026-04-02,4.31
emp_000004,2026-01-02,3.99
emp_000004,2025-10-04,2.97
emp_000004,2025-07-06,4.59
emp_000004,2025-04-07,3.9
emp_000004,2025-01-07,3.71
emp_000004,2024-10-09,3.61
emp_000004,2024-07-11,3.89
emp_000005,2026-04-02,3.15
emp_000005,2026-01-02,3.09
emp_000005,2025-10-04,3.1
emp_000005,2025-07-06,3.53
emp_000005,2025-04-07,4.05
emp_000005,2025-01-07,3.63
emp_000005,2024-10-09,3.74
emp_000005,2024-07-11,3.21
emp_000006,2026-04-02,3.64
emp_000006,2026-01-02,3.76
emp_000006,2025-10-04,3.38
emp_000006,2025-07-06,3.46
emp_000006,2025-04-07,3.91
emp_000006,2025-01-07,3.99
emp_000006,2024-10-09,3.63
emp_000006,2024-07-11,3.19
emp_000007,2026-04-02,3.1
emp_000007,2026-01-02,2.7
emp_000007,2025-10-04,3.23
emp_000008,2026-04-02,4.22
emp_000008,2026-01-02,4.04
emp_000008,2025-10-04,4.22
emp_000008,2025-07-06,4.28
emp_000008,2025-04-07,4.22
