report_employee_id,manager_employee_id
emp_000000,emp_000004
emp_000001,emp_000004
emp_000002,emp_000004
emp_000003,emp_000004
emp_000004,emp_000127
emp_000005,emp_000004
emp_000006,emp_000010
emp_000007,emp_000010
emp_000008,emp_000010
emp_000009,emp_000010
emp_000010,emp_000127
emp_000011,emp_000010
emp_000012,emp_000127
emp_000013,emp_000012
emp_000014,emp_000012
emp_000015,emp_000012
emp_000016,emp_000012
emp_000017,emp_000012
emp_000018,emp_000012
emp_000019,emp_000012
emp_000020,emp_000026
emp_000021,emp_000026
emp_000022,emp_000026
emp_000023,emp_000026
emp_000024,emp_000026
emp_000025,emp_000026
emp_000026,emp_000127
emp_000027,emp_000031
emp_000028,emp_000031
emp_000029,emp_000031
emp_000030,emp_000031
emp_000031,emp_000127
emp_000032,emp_000031
emp_000033,emp_000031
emp_000034,emp_000037
emp_000035,emp_000037
emp_000036,emp_000037
emp_000037,emp_000127
emp_000038,emp_000037
emp_000039,emp_000037
emp_000040,emp_000037
emp_000041,emp_000046
emp_000042,emp_000046
emp_000043,emp_000046
emp_000044,emp_000046
emp_000045,emp_000046
emp_000046,emp_000127
emp_000047,emp_000046
emp_000048,emp_000046
emp_000049,emp_000046
emp_000050,emp_000046
emp_000051,emp_000046
emp_000052,emp_000056
emp_000053,emp_000056
emp_000054,emp_000056
emp_000055,emp_000056
emp_000056,emp_000127
emp_000057,emp_000056
emp_000058,emp_000061
emp_000059,emp_000061
emp_000060,emp_000061
emp_000061,emp_000127
emp_000062,emp_000061
emp_000063,emp_000064
emp_000064,emp_000127
emp_000065,emp_000064
emp_000066,emp_000064
emp_000067,emp_000064
emp_000068,emp_000127
emp_000069,emp_000068
emp_000070,emp_000068
emp_000071,emp_000068
emp_000072,emp_000068
emp_000073,emp_000068
emp_000074,emp_000068
emp_000075,emp_000068
emp_000076,emp_000127
emp_000077,emp_000076
emp_000078,emp_000076
emp_000079,emp_000076
emp_000080,emp_000076
emp_000081,emp_000076
emp_000082,emp_000076
emp_000083,emp_000076
emp_000084,emp_000076
emp_000085,emp_000127
emp_000086,emp_000085
emp_000087,emp_000085
emp_000088,emp_000085
emp_000089,emp_000085
emp_000090,emp_000085
emp_000091,emp_000092
emp_000092,emp_000127
emp_000093,emp_000092
emp_000094,emp_000092
emp_000095,emp_000092
emp_000096,emp_000127
emp_000097,emp_000096
emp_000098,emp_000096
emp_000099,emp_000096
emp_000100,emp_000096
emp_000101,emp_000108
emp_000102,emp_000108
emp_000103,emp_000108
emp_000104,emp_000108
emp_000105,emp_000108
emp_000106,emp_000108
emp_000107,emp_000108
emp_000108,emp_000127
emp_000109,emp_000113
emp_000110,emp_000113
emp_000111,emp_000113
emp_000112,emp_000113
emp_000113,emp_000127
emp_000114,emp_000113
emp_000115,emp_000113
emp_000116,emp_000113
emp_000117,emp_000118
emp_000118,emp_000127
emp_000119,emp_000118
emp_000120,emp_000118
emp_000121,emp_000118
emp_000122,emp_000118
emp_000123,emp_000118
emp_000124,emp_000118
emp_000125,emp_000127
emp_000126,emp_000127
emp_000127,emp_000304
emp_000128,emp_000127
emp_000129,emp_000127
emp_000130,emp_000140
emp_000131,emp_000130
emp_000132,emp_000130
emp_000133,emp_000130
emp_000134,emp_000130
emp_000135,emp_000130
emp_000136,emp_000130
emp_000137,emp_000140
emp_000138,emp_000140
emp_000139,emp_000140
emp_000140,emp_000304
emp_000141,emp_000140
emp_000142,emp_000140
emp_000143,emp_000140
emp_000144,emp_000146
emp_000145,emp_000146
emp_000146,emp_000140
emp_000147,emp_000146
emp_000148,emp_000146
emp_000149,emp_000146
emp_000150,emp_000146
emp_000151,emp_000140
emp_000152,emp_000151
emp_000153,emp_000151
emp_000154,emp_000151
emp_000155,emp_000151
emp_000156,emp_000151
emp_000157,emp_000151
emp_000158,emp_000151
emp_000159,emp_000140
emp_000160,emp_000159
emp_000161,emp_000159
emp_000162,emp_000159
emp_000163,emp_000159
emp_000164,emp_000159
emp_000165,emp_000159
emp_000166,emp_000173
emp_000167,emp_000173
emp_000168,emp_000173
emp_000169,emp_000173
emp_000170,emp_000173
emp_000171,emp_000173
emp_000172,emp_000173
emp_000173,emp_000140
emp_000174,emp_000140
emp_000175,emp_000174
emp_000176,emp_000174
emp_000177,emp_000174
emp_000178,emp_000174
emp_000179,emp_000174
emp_000180,emp_000185
emp_000181,emp_000185
emp_000182,emp_000185
emp_000183,emp_000185
emp_000184,emp_000185
emp_000185,emp_000191
emp_000186,emp_000185
emp_000187,emp_000191
emp_000188,emp_000191
emp_000189,emp_000191
emp_000190,emp_000191
emp_000191,emp_000304
emp_000192,emp_000191
emp_000193,emp_000191
emp_000194,emp_000191
emp_000195,emp_000191
emp_000196,emp_000195
emp_000197,emp_000195
emp_000198,emp_000195
emp_000199,emp_000191
emp_000200,emp_000199
emp_000201,emp_000199
emp_000202,emp_000199
emp_000203,emp_000199
emp_000204,emp_000199
emp_000205,emp_000214
emp_000206,emp_000205
emp_000207,emp_000205
emp_000208,emp_000205
emp_000209,emp_000205
emp_000210,emp_000205
emp_000211,emp_000214
emp_000212,emp_000214
emp_000213,emp_000214
emp_000214,emp_000304
emp_000215,emp_000214
emp_000216,emp_000219
emp_000217,emp_000219
emp_000218,emp_000219
emp_000219,emp_000214
emp_000220,emp_000219
emp_000221,emp_000219
emp_000222,emp_000228
emp_000223,emp_000228
emp_000224,emp_000228
emp_000225,emp_000228
emp_000226,emp_000228
emp_000227,emp_000228
emp_000228,emp_000214
emp_000229,emp_000228
emp_000230,emp_000228
emp_000231,emp_000234
emp_000232,emp_000234
emp_000233,emp_000234
emp_000234,emp_000214
emp_000235,emp_000234
emp_000236,emp_000214
emp_000237,emp_000236
emp_000238,emp_000236
emp_000239,emp_000236
emp_000240,emp_000236
emp_000241,emp_000236
emp_000242,emp_000236
emp_000243,emp_000236
emp_000244,emp_000245
emp_000245,emp_000214
emp_000246,emp_000245
emp_000247,emp_000251
emp_000248,emp_000251
emp_000249,emp_000251
emp_000250,emp_000251
emp_000251,emp_000214
emp_000252,emp_000251
emp_000253,emp_000255
emp_000254,emp_000255
emp_000255,emp_000214
emp_000256,emp_000255
emp_000257,emp_000255
emp_000258,emp_000255
emp_000259,emp_000255
emp_000260,emp_000264
emp_000261,emp_000264
emp_000262,emp_000264
emp_000263,emp_000264
emp_000264,emp_000214
emp_000265,emp_000264
emp_000266,emp_000264
emp_000267,emp_000264
emp_000268,emp_000271
emp_000269,emp_000271
emp_000270,emp_000271
emp_000271,emp_000214
emp_000272,emp_000271
emp_000273,emp_000271
emp_000274,emp_000271
emp_000275,emp_000271
emp_000276,emp_000214
emp_000277,emp_000276
emp_000278,emp_000276
emp_000279,emp_000276
emp_000280,emp_000276
emp_000281,emp_000282
emp_000282,emp_000304
emp_000283,emp_000282
emp_000284,emp_000282
emp_000285,emp_000282
emp_000286,emp_000282
emp_000287,emp_000291
emp_000288,emp_000291
emp_000289,emp_000291
emp_000290,emp_000291
emp_000291,emp_000282
emp_000292,emp_000291
emp_000293,emp_000296
emp_000294,emp_000296
emp_000295,emp_000296
emp_000296,emp_000282
emp_000297,emp_000296
emp_000298,emp_000296
emp_000299,emp_000296
emp_000300,emp_000296
emp_000301,emp_000302
emp_000302,emp_000282
emp_000303,emp_000302
emp_000305,emp_000302
emp_000306,emp_000302
emp_000307,emp_000308
emp_000308,emp_000282
emp_000309,emp_000308
emp_000310,emp_000308
emp_000311,emp_000314
emp_000312,emp_000314
emp_000313,emp_000314
emp_000314,emp_000282
emp_000315,emp_000282
emp_000316,emp_000315
emp_000317,emp_000315
emp_000318,emp_000315
emp_000319,emp_000315
emp_000320,emp_000325
emp_000321,emp_000325
emp_000322,emp_000325
emp_000323,emp_000325
emp_000324,emp_000325
emp_000325,emp_000282
emp_000326,emp_000325
emp_000327,emp_000328
emp_000328,emp_000282
emp_000329,emp_000328
emp_000330,emp_000328
emp_000331,emp_000328
emp_000332,emp_000328
emp_000333,emp_000328
emp_000334,emp_000335
emp_000335,emp_000282
emp_000336,emp_000335
emp_000337,emp_000335
emp_000338,emp_000335
emp_000339,emp_000335
emp_000340,emp_000335
emp_000341,emp_000335
emp_000342,emp_000346
emp_000343,emp_000346
emp_000344,emp_000346
emp_000345,emp_000346
emp_000346,emp_000282
emp_000347,emp_000353
emp_000348,emp_000353
emp_000349,emp_000353
emp_000350,emp_000353
emp_000351,emp_000353
emp_000352,emp_000353
emp_000353,emp_000357
emp_000354,emp_000357
emp_000355,emp_000357
emp_000356,emp_000357
emp_000357,emp_000304
emp_000358,emp_000357
emp_000359,emp_000357
emp_000360,emp_000357
emp_000361,emp_000357
emp_000362,emp_000357
emp_000363,emp_000362
emp_000364,emp_000362
emp_000365,emp_000362
emp_000366,emp_000362
emp_000367,emp_000362
emp_000368,emp_000372
emp_000369,emp_000372
emp_000370,emp_000372
emp_000371,emp_000372
emp_000372,emp_000357
emp_000373,emp_000372
emp_000374,emp_000372
emp_000375,emp_000377
emp_000376,emp_000377
emp_000377,emp_000357
emp_000378,emp_000377
emp_000379,emp_000377
emp_000380,emp_000385
emp_000381,emp_000385
emp_000382,emp_000385
emp_000383,emp_000385
emp_000384,emp_000385
emp_000385,emp_000357
emp_000386,emp_000389
emp_000387,emp_000389
emp_000388,emp_000389
emp_000389,emp_000357
emp_000390,emp_000389
emp_000391,emp_000389
emp_000392,emp_000395
emp_000393,emp_000395
emp_000394,emp_000395
emp_000395,emp_000357
emp_000396,emp_000357
emp_000397,emp_000396
emp_000398,emp_000396
emp_000399,emp_000396
emp_000400,emp_000396
emp_000401,emp_000396
emp_000402,emp_000396
emp_000403,emp_000357
emp_000404,emp_000403
emp_000405,emp_000403
emp_000406,emp_000421
emp_000407,emp_000406
emp_000408,emp_000406
emp_000409,emp_000406
emp_000410,emp_000406
emp_000411,emp_000406
emp_000412,emp_000406
emp_000413,emp_000414
emp_000414,emp_000421
emp_000415,emp_000414
emp_000416,emp_000414
emp_000417,emp_000414
emp_000418,emp_000414
